session	trialNum	condition	blockNum	target	side	trialOnset
sessid002	0	exposure	PreExposure	tangram_AA	Minu	-0.04799985885620117
sessid002	0	exposure	PreExposure	tangram_AA	Repi	0
sessid002	1	exposure	PreExposure	tangram_A	Minu	5.952000141143799
sessid002	1	exposure	PreExposure	tangram_A	Repi	5.999000072479248
sessid002	2	exposure	PreExposure	tangram_S	Minu	13.452000141143799
sessid002	2	exposure	PreExposure	tangram_S	Repi	13.499000072479248
sessid002	3	exposure	PreExposure	tangram_U	Minu	20.9520001411438
sessid002	3	exposure	PreExposure	tangram_U	Repi	19.5
sessid002	4	exposure	PreExposure	tangram_X	Minu	26.9520001411438
sessid002	4	exposure	PreExposure	tangram_X	Repi	27
sessid002	5	exposure	PreExposure	tangram_P	Minu	34.4520001411438
sessid002	5	exposure	PreExposure	tangram_P	Repi	34.49900007247925
sessid002	6	exposure	PreExposure	tangram_AI	Minu	41.9520001411438
sessid002	6	exposure	PreExposure	tangram_AI	Repi	40.49900007247925
sessid002	7	exposure	PreExposure	tangram_E	Minu	47.9520001411438
sessid002	7	exposure	PreExposure	tangram_E	Repi	47.99900007247925
sessid002	8	exposure	PreExposure	tangram_K	Minu	55.4520001411438
sessid002	8	exposure	PreExposure	tangram_K	Repi	55.498000144958496
sessid002	9	exposure	PreExposure	tangram_V	Minu	62.9520001411438
sessid002	9	exposure	PreExposure	tangram_V	Repi	63
sessid002	10	exposure	PreExposure	tangram_Z	Minu	68.9520001411438
sessid002	10	exposure	PreExposure	tangram_Z	Repi	69
sessid002	11	exposure	PreExposure	tangram_AJ	Minu	76.4520001411438
sessid002	11	exposure	PreExposure	tangram_AJ	Repi	76.49900007247925
sessid002	12	exposure	PreExposure	tangram_H	Minu	83.9520001411438
sessid002	12	exposure	PreExposure	tangram_H	Repi	83.99900007247925
sessid002	13	exposure	PreExposure	tangram_AB	Minu	89.9520001411438
sessid002	13	exposure	PreExposure	tangram_AB	Repi	89.99900007247925
sessid002	14	exposure	PreExposure	tangram_D	Minu	97.45300006866455
sessid002	14	exposure	PreExposure	tangram_D	Repi	97.50100016593933
sessid002	15	exposure	PreExposure	tangram_M	Minu	104.9520001411438
sessid002	15	exposure	PreExposure	tangram_M	Repi	104.99900007247925
sessid002	16	exposure	PreExposure	tangram_C	Minu	110.9520001411438
sessid002	16	exposure	PreExposure	tangram_C	Repi	111
sessid002	17	exposure	PreExposure	tangram_W	Minu	118.4520001411438
sessid002	17	exposure	PreExposure	tangram_W	Repi	118.49900007247925
sessid002	18	exposure	PreExposure	tangram_AE	Minu	125.95300006866455
sessid002	18	exposure	PreExposure	tangram_AE	Repi	126
sessid002	19	exposure	PreExposure	tangram_Y	Minu	131.95300006866455
sessid002	19	exposure	PreExposure	tangram_Y	Repi	131.99900007247925
sessid002	20	exposure	PreExposure	tangram_G	Minu	139.4520001411438
sessid002	20	exposure	PreExposure	tangram_G	Repi	139.5
sessid002	21	exposure	PreExposure	tangram_AC	Minu	146.9520001411438
sessid002	21	exposure	PreExposure	tangram_AC	Repi	146.99900007247925
sessid002	22	exposure	PreExposure	tangram_F	Minu	152.9520001411438
sessid002	22	exposure	PreExposure	tangram_F	Repi	152.99900007247925
sessid002	23	exposure	PreExposure	tangram_AF	Minu	160.45300006866455
sessid002	23	exposure	PreExposure	tangram_AF	Repi	160.50100016593933
sessid002	24	exposure	PreExposure	tangram_T	Minu	167.9520001411438
sessid002	24	exposure	PreExposure	tangram_T	Repi	168
sessid002	25	exposure	PreExposure	tangram_AH	Minu	173.95300006866455
sessid002	25	exposure	PreExposure	tangram_AH	Repi	174
sessid002	26	exposure	PreExposure	tangram_O	Minu	181.4520001411438
sessid002	26	exposure	PreExposure	tangram_O	Repi	181.5
sessid002	27	exposure	PreExposure	tangram_J	Minu	188.95300006866455
sessid002	27	exposure	PreExposure	tangram_J	Repi	189
sessid002	28	exposure	PreExposure	tangram_AD	Minu	194.95300006866455
sessid002	28	exposure	PreExposure	tangram_AD	Repi	194.99900007247925
sessid002	29	exposure	PreExposure	tangram_AG	Minu	202.45300006866455
sessid002	29	exposure	PreExposure	tangram_AG	Repi	202.49900007247925
sessid002	30	exposure	PreExposure	tangram_B	Minu	209.9520001411438
sessid002	30	exposure	PreExposure	tangram_B	Repi	209.99900007247925
sessid002	31	exposure	PreExposure	tangram_I	Minu	215.95300006866455
sessid002	31	exposure	PreExposure	tangram_I	Repi	216.00100016593933
sessid002	32	exposure	PreExposure	tangram_Q	Minu	223.45300006866455
sessid002	32	exposure	PreExposure	tangram_Q	Repi	223.5
sessid002	33	exposure	PreExposure	tangram_L	Minu	230.95300006866455
sessid002	33	exposure	PreExposure	tangram_L	Repi	231
sessid002	34	exposure	PreExposure	tangram_N	Minu	236.95300006866455
sessid002	34	exposure	PreExposure	tangram_N	Repi	237
sessid002	35	exposure	PreExposure	tangram_R	Minu	244.45300006866455
sessid002	35	exposure	PreExposure	tangram_R	Repi	244.49900007247925
sessid002	36	control	PreTest	tangram_AE	Minu	-0.04699993133544922
sessid002	36	control	PreTest	tangram_AE	Repi	0
sessid002	37	control	PreTest	tangram_E	Minu	177.99699997901917
sessid002	37	control	PreTest	tangram_E	Repi	178.0590000152588
sessid002	38	repeated	PreTest	tangram_D	Minu	198.99699997901917
sessid002	38	repeated	PreTest	tangram_D	Repi	199.0590000152588
sessid002	39	repeated	PreTest	tangram_J	Minu	216.9980001449585
sessid002	39	repeated	PreTest	tangram_J	Repi	217.06000018119812
sessid002	40	control	PreTest	tangram_Y	Minu	240.99699997901917
sessid002	40	control	PreTest	tangram_Y	Repi	241.0590000152588
sessid002	41	repeated	PreTest	tangram_X	Minu	258.9980001449585
sessid002	41	repeated	PreTest	tangram_X	Repi	259.0600001811981
sessid002	42	repeated	PreTest	tangram_H	Minu	279.9980001449585
sessid002	42	repeated	PreTest	tangram_H	Repi	280.0590000152588
sessid002	43	control	PreTest	tangram_U	Minu	315.9980001449585
sessid002	43	control	PreTest	tangram_U	Repi	316.0590000152588
sessid002	44	repeated	PreTest	tangram_R	Minu	348.9980001449585
sessid002	44	repeated	PreTest	tangram_R	Repi	349.0590000152588
sessid002	45	control	PreTest	tangram_N	Minu	366.9980001449585
sessid002	45	control	PreTest	tangram_N	Repi	367.0590000152588
sessid002	46	control	PreTest	tangram_A	Minu	390.9980001449585
sessid002	46	control	PreTest	tangram_A	Repi	391.05800008773804
