,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_derivative1,trans_y_derivative1,trans_z_derivative1,rot_x_derivative1,rot_y_derivative1,rot_z_derivative1,trans_x_derivative1_power2,trans_y_derivative1_power2,trans_z_derivative1_power2,rot_x_derivative1_power2,rot_y_derivative1_power2,rot_z_derivative1_power2,trans_x_power2,trans_y_power2,trans_z_power2,rot_x_power2,rot_y_power2,rot_z_power2,global_signal,csf,white_matter
0,-0.0388622,-0.129679,0.204249,-0.0151681,-0.00398347,-0.00242883,0.0084889,0.1292961379999999,0.129689,0.0041191,6.769000000000046e-05,0.00023462,7.206142321000002e-05,0.016717491301715,0.016819236721,1.6966984810000004e-05,4.581936100000062e-09,5.5046544400000023e-08,0.00151027058884,0.0168166430409999,0.041717654001,0.00023007125761,1.58680332409e-05,5.8992151689e-06,770.3064523321875,538.2642836107723,518.9993586691186
1,-0.0303733,-0.000382862,0.333938,-0.011049,-0.00391578,-0.00219421,0.0084889,0.1292961379999999,0.129689,0.0041191,6.769000000000046e-05,0.00023462,7.206142321000002e-05,0.016717491301715,0.016819236721,1.6966984810000004e-05,4.581936100000062e-09,5.5046544400000023e-08,0.00092253735289,1.4658331104399997e-07,0.111514587844,0.000122080401,1.53333330084e-05,4.814557524099999e-06,766.906551573876,539.2269344935335,517.2143025223274
2,-0.0482937,-0.0917899,0.503309,-0.0115828,-0.00315981,-0.00257309,-0.0179204,-0.091407038,0.169371,-0.0005338,0.0007559699999999,-0.00037888,0.00032114073616,0.0083552465959334,0.028686535641,2.84942440000001e-07,5.714906408999998e-07,1.4355005440000021e-07,0.00233228145969,0.0084253857420099,0.253319949481,0.00013416125584,9.9843992361e-06,6.620792148100001e-06,766.4638933019619,530.076622600563,516.4065057145953
3,-0.072118,-0.0543249,0.278702,-0.00452179,-0.00237643,-0.00298096,-0.0238243,0.0374649999999999,-0.224607,0.00706101,0.0007833799999999,-0.0004078699999999,0.00056759727049,0.0014036262249999,0.050448304449,4.9857862220100006e-05,6.136842243999997e-07,1.663579368999999e-07,0.005201005924,0.00295119476001,0.077674804804,2.0446584804100003e-05,5.6474195449000005e-06,8.8861225216e-06,769.2430786693919,531.6513758465716,517.3235124791343
4,-0.196948,-0.00772116,0.278075,0.00679697,-0.000594656,-0.00289533,-0.12483,0.04660374,-0.0006269999999999,0.01131876,0.001781774,8.562999999999973e-05,0.0155825289,0.0021719085819876,3.931289999999858e-07,0.0001281143279376,3.174718587076e-06,7.332496899999955e-09,0.038788514704,5.96163117456e-05,0.077325705625,4.6198801180900005e-05,3.5361575833600005e-07,8.382935808900001e-06,746.7622326075116,520.1843364530797,512.6042356432263
5,-0.267766,-0.219183,0.311516,0.0008163629999999,-0.000188884,-0.00257035,-0.0708179999999999,-0.2114618399999999,0.033441,-0.0059806070000001,0.000405772,0.00032498,0.0050151891239999,0.0447161097761855,0.0011183004809999,3.57676600884502e-05,1.6465091598400005e-07,1.0561200040000021e-07,0.071698630756,0.0480411874889999,0.097042218256,6.664485477688367e-07,3.5677165456e-08,6.606699122499999e-06,737.9460939554497,502.6409216034381,499.9340096708764
6,-0.221188,0.00371324,0.455335,0.00495327,0.000362559,-0.0020857,0.046578,0.22289624,0.1438189999999999,0.0041369070000001,0.000551443,0.00048465,0.002169510084,0.0496827338061376,0.0206839047609999,1.711399952664983e-05,3.04089382249e-07,2.348856225000001e-07,0.048924131344,1.37881512976e-05,0.207329962225,2.45348836929e-05,1.31449028481e-07,4.35014449e-06,764.7763643245805,535.3380180003735,512.1448920511051
7,-0.243322,0.157116,0.0107925,0.0219607,-0.000669066,-0.00260155,-0.022134,0.15340276,-0.4445425,0.01700743,-0.001031625,-0.00051585,0.000489913956,0.0235324067756176,0.19761803430625,0.0002892526752049,1.064250140625e-06,2.6610122250000044e-07,0.059205595684,0.024685437456,0.00011647805625,0.00048227234449,4.47649312356e-07,6.768062402500001e-06,767.2597219759656,536.523155572585,518.8314899379228
8,-0.20279,0.00936703,-0.115047,0.00921355,-0.000614502,-0.00193246,0.040532,-0.14774897,-0.1258395,-0.01274715,5.4564e-05,0.00066909,0.001642843024,0.0218297581360609,0.0158355797602499,0.0001624898331225,2.9772300960000003e-09,4.476814281000003e-07,0.0411237841,8.77412510209e-05,0.013235812209,8.488950360249999e-05,3.7761270800400004e-07,3.7344016516e-06,771.1884294775249,531.5468448121381,519.867234812226
9,-0.219475,-0.0139934,-0.183702,0.0119574,-0.000697277,-0.00189239,-0.016685,-0.02336043,-0.068655,0.00274385,-8.27750000000001e-05,4.006999999999991e-05,0.000278389225,0.0005457096897849,0.004713509025,7.528712822500004e-06,6.8517006250000166e-09,1.605604899999992e-09,0.048169275625,0.0001958152435599,0.033746424804,0.00014297941476,4.861952147290001e-07,3.5811399121e-06,759.639176243973,527.0592505763148,519.9632612701226
