filename	acq_time	operator	randstr
anat/sub-s018_T1w.nii.gz	2023-05-24T10:53:59.517500	n/a	56d7af74
func/sub-s018_task-PreExposure_run-01_bold.nii.gz	2023-05-24T11:05:06.475000	n/a	c562668f
func/sub-s018_task-PreTest_run-01_bold.nii.gz	2023-05-24T11:14:11.542500	n/a	99838909
func/sub-s018_task-Repeated_run-01_bold.nii.gz	2023-05-24T11:36:58.765000	n/a	c0e78cbc
func/sub-s018_task-Repeated_run-02_bold.nii.gz	2023-05-24T11:44:16.377500	n/a	78e97fb3
func/sub-s018_task-Repeated_run-03_bold.nii.gz	2023-05-24T11:51:09.982500	n/a	cc70a63a
func/sub-s018_task-Repeated_run-04_bold.nii.gz	2023-05-24T11:57:22.932500	n/a	a135ee13
func/sub-s018_task-Repeated_run-05_bold.nii.gz	2023-05-24T12:02:38.880000	n/a	e23c73b0
func/sub-s018_task-Repeated_run-06_bold.nii.gz	2023-05-24T12:08:02.712500	n/a	fc00bde6
func/sub-s018_task-PostTest_run-01_bold.nii.gz	2023-05-24T12:13:33.745000	n/a	e1abc62a
func/sub-s018_task-PostExposure_run-01_bold.nii.gz	2023-05-24T12:27:10.067500	n/a	f50a6c18
fmap/sub-s018_dir-AP_epi.nii.gz	2023-05-24T12:32:09.912500	n/a	ce5143b0
fmap/sub-s018_dir-PA_epi.nii.gz	2023-05-24T12:32:48.462500	n/a	f26d1e63
