filename	acq_time	operator	randstr
anat/sub-s012_T1w.nii.gz	2023-05-16T17:04:48.405000	n/a	e8bbabac
func/sub-s012_task-PreExposure_run-01_bold.nii.gz	2023-05-16T17:20:58.387500	n/a	a40a6b22
func/sub-s012_task-PreTest_run-01_bold.nii.gz	2023-05-16T17:28:03.930000	n/a	04a89b8b
func/sub-s012_task-PreTest_run-02_bold.nii.gz	2023-05-16T17:53:51.050000	n/a	55992e13
func/sub-s012_task-Repeated_run-01_bold.nii.gz	2023-05-16T18:00:59.532500	n/a	ba49087f
func/sub-s012_task-Repeated_run-02_bold.nii.gz	2023-05-16T18:11:59.045000	n/a	3a7cb6ec
func/sub-s012_task-Repeated_run-03_bold.nii.gz	2023-05-16T18:19:07.015000	n/a	1ca14dbc
func/sub-s012_task-Repeated_run-04_bold.nii.gz	2023-05-16T18:25:36.472500	n/a	e94213d4
func/sub-s012_task-Repeated_run-05_bold.nii.gz	2023-05-16T18:30:58.007500	n/a	d77dcb82
func/sub-s012_task-Repeated_run-06_bold.nii.gz	2023-05-16T18:36:04.970000	n/a	ce4a3aae
func/sub-s012_task-PostTest_run-01_bold.nii.gz	2023-05-16T18:41:31.002500	n/a	e12d9201
func/sub-s012_task-PostExposure_run-01_bold.nii.gz	2023-05-16T18:56:02.487500	n/a	c633a09f
fmap/sub-s012_dir-AP_epi.nii.gz	2023-05-16T19:00:52.945000	n/a	d2acfa00
fmap/sub-s012_dir-PA_epi.nii.gz	2023-05-16T19:01:37.697500	n/a	acafc5c0
