filename	acq_time	operator	randstr
anat/sub-p006_T1w.nii.gz	2023-04-19T12:47:08	n/a	fdec9332
func/sub-p006_task-PreExposure_run-01_bold.nii.gz	2023-04-19T12:51:51	n/a	6e21808e
func/sub-p006_task-PreTest_run-01_bold.nii.gz	2023-04-19T12:59:07	n/a	7e0a3ae9
func/sub-p006_task-Repeated_run-01_bold.nii.gz	2023-04-19T13:17:09	n/a	a26683a9
func/sub-p006_task-Repeated_run-02_bold.nii.gz	2023-04-19T13:26:37	n/a	406f1a9c
func/sub-p006_task-Repeated_run-03_bold.nii.gz	2023-04-19T13:34:41	n/a	cf4db108
func/sub-p006_task-Repeated_run-04_bold.nii.gz	2023-04-19T13:41:45	n/a	947b16a0
func/sub-p006_task-Repeated_run-05_bold.nii.gz	2023-04-19T13:48:10	n/a	326abbfe
func/sub-p006_task-Repeated_run-06_bold.nii.gz	2023-04-19T13:54:24	n/a	f238e8da
func/sub-p006_task-PostTest_run-01_bold.nii.gz	2023-04-19T14:00:12	n/a	0540e905
func/sub-p006_task-PostExposure_run-01_bold.nii.gz	2023-04-19T14:12:18	n/a	69c2928f
fmap/sub-p006_dir-AP_epi.nii.gz	2023-04-19T14:18:20	n/a	ca704fce
fmap/sub-p006_dir-PA_epi.nii.gz	2023-04-19T14:19:05	n/a	876b6892
