_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
SWQoApN3HzjC8ezKM,0,2,2023-03-30T17:01:37Z,,"egf5ecPcmBKitT6Ev,FuSR8yc53kuod3QAZ","egf5ecPcmBKitT6Ev,FuSR8yc53kuod3QAZ",SWQoApN3HzjC8ezKM,dcE3o6E6KFNBZ4uLi,ooGyvXSRRfcMSGBur,Yi9XcJrHPjK5PJTQz,2023-03-30T17:01:20Z
PSbpnaSNphXjYzu5a,0,2,,,K5CRRkoxmsfypm2eC,,,dcE3o6E6KFNBZ4uLi,xJH9iCiX9QX6kY5TJ,Yi9XcJrHPjK5PJTQz,2023-04-08T12:51:11Z
Ru4umHFicsj8BuQzH,0,2,,,,,,dcE3o6E6KFNBZ4uLi,sk6PfbsxxTrqM4jQC,Yi9XcJrHPjK5PJTQz,2023-04-08T12:51:15Z
fvc2pj6aQmgtXGzEF,0,2,2023-04-13T17:35:16Z,,"GkYj49sqwQfQJPHCm,57E56sghFzwNAwwYk","GkYj49sqwQfQJPHCm,57E56sghFzwNAwwYk",fvc2pj6aQmgtXGzEF,miYKpM9grT8NYZpWu,ezRSFzPysqjErvJNh,Yi9XcJrHPjK5PJTQz,2023-04-13T16:12:55Z
uRBY2oSdZknrX94DB,0,2,2023-04-15T15:59:11Z,,"5kfvkxjGv9wcx4g7B,oYMLFC2AsuPK2MXEa","oYMLFC2AsuPK2MXEa,5kfvkxjGv9wcx4g7B",uRBY2oSdZknrX94DB,Xn7NeqLAqwocoFziX,eaXqNxaopMvRdFSxs,Yi9XcJrHPjK5PJTQz,2023-04-15T11:07:18Z
RgSB8PL5ijypAki9c,0,2,2023-04-15T19:57:45Z,,"RsX8D2ktXfdxYpYxB,Wa7iFwCiBd6aiBdht","Wa7iFwCiBd6aiBdht,RsX8D2ktXfdxYpYxB",RgSB8PL5ijypAki9c,nNLNh8D4h7joit9yE,QvpMRYoPSN4Kh5c5A,Yi9XcJrHPjK5PJTQz,2023-04-15T19:20:23Z
NjiESi7vazeSBo3cF,0,2,2023-04-15T20:49:53Z,,"exR6xLWBxNNXdyjdi,QuQrLGtodWyRSeFPh","QuQrLGtodWyRSeFPh,exR6xLWBxNNXdyjdi",NjiESi7vazeSBo3cF,nHWQWw7oBNsouDWTi,M5yjZwTWf4zYRFGvY,Yi9XcJrHPjK5PJTQz,2023-04-15T20:43:34Z
c547yMZa7RoPDZqhQ,0,2,2023-04-15T21:07:55Z,,"g8GGtvK5cbTHRaKnm,LmnMv2Yics4rYCs3T","LmnMv2Yics4rYCs3T,g8GGtvK5cbTHRaKnm",c547yMZa7RoPDZqhQ,5aEasoXTRWFG2Lugc,qg3G88pJHeXyPkAAd,Yi9XcJrHPjK5PJTQz,2023-04-15T21:07:32Z
eZAnrr7xvSSnBTZv6,0,2,2023-04-18T14:47:29Z,,"bMmHAb94JuH8Fnb7k,9tyEBgxorN2BnibJe,tbMKbHTKgAnbRqhk7","9tyEBgxorN2BnibJe,tbMKbHTKgAnbRqhk7",eZAnrr7xvSSnBTZv6,hAnnGv3Radt4ioRyq,2byhmcELKtCJq6rWQ,Yi9XcJrHPjK5PJTQz,2023-04-18T13:41:06Z
gvmM5p5aPBgrRAJKR,0,2,2023-04-18T14:52:16Z,,"rBeTNFr69wN4mWEun,38kx8MR8K6K4TJgmL","38kx8MR8K6K4TJgmL,rBeTNFr69wN4mWEun",gvmM5p5aPBgrRAJKR,hAnnGv3Radt4ioRyq,2NwBeksCYwXZvmmaF,Yi9XcJrHPjK5PJTQz,2023-04-18T14:51:52Z
