filename	acq_time	operator	randstr
anat/sub-p003_T1w.nii.gz	2023-04-15T11:48:40	n/a	b4fce45f
func/sub-p003_task-PreExposure_run-01_bold.nii.gz	2023-04-15T11:55:09	n/a	7be836e3
func/sub-p003_task-PreTest_run-01_bold.nii.gz	2023-04-15T12:01:48	n/a	d5c51ff8
func/sub-p003_task-Repeated_run-01_bold.nii.gz	2023-04-15T12:24:00	n/a	5270613e
func/sub-p003_task-Repeated_run-02_bold.nii.gz	2023-04-15T12:32:49	n/a	ebf95473
func/sub-p003_task-Repeated_run-03_bold.nii.gz	2023-04-15T12:40:08	n/a	59ac9ccf
func/sub-p003_task-Repeated_run-04_bold.nii.gz	2023-04-15T12:46:20	n/a	4983444a
func/sub-p003_task-Repeated_run-05_bold.nii.gz	2023-04-15T12:52:49	n/a	eabbb015
func/sub-p003_task-Repeated_run-06_bold.nii.gz	2023-04-15T12:58:28	n/a	59604d9b
func/sub-p003_task-PostTest_run-01_bold.nii.gz	2023-04-15T13:04:40	n/a	a5342976
func/sub-p003_task-PostExposure_run-01_bold.nii.gz	2023-04-15T13:17:09	n/a	69a198f5
fmap/sub-p003_dir-AP_epi.nii.gz	2023-04-15T13:22:08	n/a	59afea5e
fmap/sub-p003_dir-PA_epi.nii.gz	2023-04-15T13:23:00	n/a	f2c6dd99
