filename	acq_time	operator	randstr
anat/sub-p014_T1w.nii.gz	2023-05-17T13:27:38.722500	n/a	b50649ac
func/sub-p014_task-PreExposure_run-01_bold.nii.gz	2023-05-17T13:38:40.550000	n/a	9d06e851
func/sub-p014_task-PreTest_run-01_bold.nii.gz	2023-05-17T13:44:15.317500	n/a	ccfaac5b
func/sub-p014_task-Repeated_run-01_bold.nii.gz	2023-05-17T14:05:00.465000	n/a	5d347541
func/sub-p014_task-Repeated_run-02_bold.nii.gz	2023-05-17T14:13:37.970000	n/a	8b6d4f56
func/sub-p014_task-Repeated_run-03_bold.nii.gz	2023-05-17T14:20:25.735000	n/a	b157a72a
func/sub-p014_task-Repeated_run-04_bold.nii.gz	2023-05-17T14:27:33.030000	n/a	ba97c884
func/sub-p014_task-Repeated_run-05_bold.nii.gz	2023-05-17T14:33:34.807500	n/a	87cde1f0
func/sub-p014_task-Repeated_run-06_bold.nii.gz	2023-05-17T14:40:22.802500	n/a	d73175dc
func/sub-p014_task-PostTest_run-01_bold.nii.gz	2023-05-17T14:46:12.017500	n/a	fd4cf7ef
func/sub-p014_task-PostExposure_run-01_bold.nii.gz	2023-05-17T15:01:21.435000	n/a	17833494
fmap/sub-p014_dir-AP_epi.nii.gz	2023-05-17T15:06:38.897500	n/a	0cc30b5e
fmap/sub-p014_dir-PA_epi.nii.gz	2023-05-17T15:07:34.762500	n/a	56955085
