,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_derivative1,trans_y_derivative1,trans_z_derivative1,rot_x_derivative1,rot_y_derivative1,rot_z_derivative1,trans_x_derivative1_power2,trans_y_derivative1_power2,trans_z_derivative1_power2,rot_x_derivative1_power2,rot_y_derivative1_power2,rot_z_derivative1_power2,trans_x_power2,trans_y_power2,trans_z_power2,rot_x_power2,rot_y_power2,rot_z_power2,global_signal,csf,white_matter
0,0.0363055,-0.0570537,-0.108485,-0.000874254,-0.000470322,0.00147646,-0.0122175,0.0035145999999999,0.0112958999999999,0.000307538,0.0,-0.00033908,0.00014926730625,1.2352413159999998e-05,0.0001275973568099,9.4579621444e-08,0.0,1.1497524640000005e-07,0.0013180893302499,0.00325512468369,0.011768995225,7.643200565159999e-07,2.2120278368400002e-07,2.1799341316e-06,626.6794463401097,485.2246327394094,468.74385193679336
1,0.024088,-0.0535391,-0.0971891,-0.000566716,-0.000470322,0.00113738,-0.0122175,0.0035145999999999,0.0112958999999999,0.000307538,0.0,-0.00033908,0.00014926730625,1.2352413159999998e-05,0.0001275973568099,9.4579621444e-08,0.0,1.1497524640000005e-07,0.0005802317439999,0.00286643522881,0.00944572115881,3.21167024656e-07,2.2120278368400002e-07,1.2936332643999998e-06,626.5352738166483,481.2666728897763,468.8128549082343
2,0.0307419,-0.0390205,-0.101934,-0.000991155,-0.000640902,0.00113738,0.0066539,0.0145186,-0.0047448999999999,-0.000424439,-0.00017058,0.0,4.427438521000001e-05,0.0002107897459599,2.2514076009999965e-05,1.801484647210001e-07,2.909753640000001e-08,0.0,0.00094506441561,0.00152259942025,0.0103905403559999,9.823882340250002e-07,4.107553736040001e-07,1.2936332643999998e-06,625.5213506919025,482.3192575635171,468.4411859620613
3,0.0199485,-0.0195169,-0.0940611,-0.00119634,-0.000418364,0.00118901,-0.0107933999999999,0.0195036,0.0078729,-0.0002051849999999,0.000222538,5.162999999999999e-05,0.0001164974835599,0.00038039041296,6.198255441000004e-05,4.2100884224999946e-08,4.952316144400002e-08,2.665656899999999e-09,0.00039794265225,0.00038090938561,0.0088474905332099,1.4312293955999998e-06,1.75028436496e-07,1.4137447800999998e-06,625.2938171266479,483.4380680320876,468.5631182715957
4,0.0178563,-0.0978113,-0.120342,-0.000947863,-0.000596043,0.000888416,-0.0020922,-0.0782944,-0.0262809,0.000248477,-0.0001776789999999,-0.0003005939999999,4.37730084000001e-06,0.00613001307136,0.00069068570481,6.174081952899999e-08,3.156982704099999e-08,9.03567528359999e-08,0.0003188474496899,0.00956705040769,0.014482196964,8.984442667689999e-07,3.55267257849e-07,7.892829890560001e-07,625.1789574434998,482.1834721583359,468.8449480549515
5,0.0162933,-0.0317118,-0.101551,-0.000939099,-0.000328371,0.000900707,-0.0015629999999999,0.0660995,0.018791,8.763999999999972e-06,0.000267672,1.2290999999999996e-05,2.442968999999995e-06,0.00436914390025,0.000353101681,7.680769599999949e-11,7.1648299584e-08,1.5106868099999988e-10,0.00026547162489,0.0010056382592399,0.010312605601,8.81906931801e-07,1.07827513641e-07,8.112730998490001e-07,624.9445324724664,481.16819017719297,468.7370328196157
6,0.0134598,-0.0550312,-0.0955525,-0.000633158,-7.88904e-05,0.000922343,-0.0028335,-0.0233194,0.0059985,0.000305941,0.0002494806,2.16359999999999e-05,8.028722250000006e-06,0.00054379441636,3.598200225000005e-05,9.3599895481e-08,6.224056977635999e-08,4.681164959999954e-10,0.0001811662160399,0.00302843297344,0.00913028025625,4.00889052964e-07,6.22369521216e-09,8.507166096489999e-07,624.2818837817024,480.5401714153393,468.3144640345092
7,0.0111284,-0.0575956,-0.112769,-0.00054483,-0.000230261,0.000817186,-0.0023313999999999,-0.0025643999999999,-0.0172164999999999,8.832799999999993e-05,-0.0001513706,-0.0001051569999999,5.435425959999996e-06,6.576147359999972e-06,0.0002964078722499,7.801835583999988e-09,2.291305854436e-08,1.1057994648999985e-08,0.00012384128656,0.0033172531393599,0.0127168473609999,2.968397289000001e-07,5.3020128121e-08,6.677929585960001e-07,623.916171671931,481.6131193947013,468.2028415807077
8,0.0128243,9.18618e-05,-0.123885,-0.0007931099999999,-0.00039866,0.000878491,0.0016959,0.0576874618,-0.011116,-0.0002482799999998,-0.000168399,6.1305e-05,2.8760768100000007e-06,0.0033278432489264,0.000123565456,6.164295839995032e-08,2.8358223201000005e-08,3.758303025e-09,0.00016446267049,8.438590299239998e-09,0.0153474932249999,6.290234720998414e-07,1.589297956e-07,7.71746437081e-07,623.8628495155705,481.66483858685393,468.346543651232
9,0.0134044,-0.0761595999999999,-0.108494,-0.000530948,-0.00039866,0.000817186,0.0005801,-0.0762514617999998,0.015391,0.0002621619999998,0.0,-6.1305e-05,3.365160100000001e-07,0.0058142854266368,0.000236882881,6.872891424394755e-08,0.0,3.758303025e-09,0.00017967793936,0.0058002846721599,0.0117709480359999,2.8190577870400005e-07,1.589297956e-07,6.677929585960001e-07,623.830900244404,480.07136487044346,468.5841303528992
