filename	acq_time	operator	randstr
anat/sub-s008_T1w.nii.gz	2023-04-21T11:00:36	n/a	9bef8442
func/sub-s008_task-PreExposure_run-01_bold.nii.gz	2023-04-21T11:08:35	n/a	dc9de567
func/sub-s008_task-PreTest_run-01_bold.nii.gz	2023-04-21T11:14:32	n/a	23e96672
func/sub-s008_task-Repeated_run-01_bold.nii.gz	2023-04-21T11:40:30	n/a	c1f67851
func/sub-s008_task-Repeated_run-02_bold.nii.gz	2023-04-21T11:55:41	n/a	37cc1bc2
func/sub-s008_task-Repeated_run-03_bold.nii.gz	2023-04-21T12:03:38	n/a	ab13a8b7
func/sub-s008_task-Repeated_run-04_bold.nii.gz	2023-04-21T12:09:55	n/a	a5325759
func/sub-s008_task-Repeated_run-05_bold.nii.gz	2023-04-21T12:16:30	n/a	01c2e994
func/sub-s008_task-Repeated_run-06_bold.nii.gz	2023-04-21T12:22:10	n/a	cb31d108
func/sub-s008_task-PostTest_run-01_bold.nii.gz	2023-04-21T12:28:20	n/a	bc9a5658
func/sub-s008_task-PostExposure_run-01_bold.nii.gz	2023-04-21T12:46:03	n/a	9ecd5bae
fmap/sub-s008_dir-AP_epi.nii.gz	2023-04-21T12:51:01	n/a	a31c87c9
fmap/sub-s008_dir-PA_epi.nii.gz	2023-04-21T12:51:42	n/a	3ba4706d
