Time: 2023-04-15 15:59:25.677823, Key pressed: =
Time: 2023-04-15 15:59:27.173269, Key pressed: =
Time: 2023-04-15 15:59:28.678054, Key pressed: =
Time: 2023-04-15 15:59:30.168588, Key pressed: =
Time: 2023-04-15 15:59:31.677923, Key pressed: =
Time: 2023-04-15 15:59:33.178338, Key pressed: =
Time: 2023-04-15 15:59:34.674024, Key pressed: =
Time: 2023-04-15 15:59:36.168549, Key pressed: =
Time: 2023-04-15 15:59:37.673600, Key pressed: =
Time: 2023-04-15 15:59:39.177875, Key pressed: =
Time: 2023-04-15 15:59:40.668322, Key pressed: =
Time: 2023-04-15 15:59:42.173588, Key pressed: =
Time: 2023-04-15 15:59:43.678164, Key pressed: =
Time: 2023-04-15 15:59:45.177974, Key pressed: =
Time: 2023-04-15 15:59:46.673417, Key pressed: =
Time: 2023-04-15 15:59:48.188464, Key pressed: =
Time: 2023-04-15 15:59:49.668690, Key pressed: =
Time: 2023-04-15 15:59:51.168217, Key pressed: =
Time: 2023-04-15 15:59:52.668625, Key pressed: =
Time: 2023-04-15 15:59:54.173964, Key pressed: =
Time: 2023-04-15 15:59:55.663791, Key pressed: =
Time: 2023-04-15 15:59:57.173581, Key pressed: =
Time: 2023-04-15 15:59:58.677610, Key pressed: =
Time: 2023-04-15 16:00:00.177851, Key pressed: =
Time: 2023-04-15 16:00:01.683798, Key pressed: =
Time: 2023-04-15 16:00:03.173225, Key pressed: =
Time: 2023-04-15 16:00:04.674058, Key pressed: =
Time: 2023-04-15 16:00:06.178411, Key pressed: =
Time: 2023-04-15 16:00:07.678000, Key pressed: =
Time: 2023-04-15 16:00:09.173833, Key pressed: =
Time: 2023-04-15 16:00:10.668585, Key pressed: =
Time: 2023-04-15 16:00:12.173676, Key pressed: =
Time: 2023-04-15 16:00:13.678035, Key pressed: =
Time: 2023-04-15 16:00:15.168706, Key pressed: =
Time: 2023-04-15 16:00:16.678153, Key pressed: =
Time: 2023-04-15 16:00:18.163500, Key pressed: =
Time: 2023-04-15 16:00:19.678106, Key pressed: =
