Time: 2023-05-26 16:36:20.736678, Key pressed: 1
Time: 2023-05-26 16:36:21.028080, Key pressed: 1
Time: 2023-05-26 16:36:23.531842, Key pressed: 1
Time: 2023-05-26 16:41:46.334295, Key pressed: =
Time: 2023-05-26 16:41:47.839593, Key pressed: =
Time: 2023-05-26 16:41:49.339471, Key pressed: =
Time: 2023-05-26 16:41:50.839377, Key pressed: =
Time: 2023-05-26 16:41:52.354906, Key pressed: =
Time: 2023-05-26 16:41:53.839561, Key pressed: =
Time: 2023-05-26 16:41:55.339624, Key pressed: =
Time: 2023-05-26 16:41:56.834185, Key pressed: =
Time: 2023-05-26 16:41:58.339117, Key pressed: =
Time: 2023-05-26 16:41:59.848805, Key pressed: =
Time: 2023-05-26 16:42:01.339152, Key pressed: =
Time: 2023-05-26 16:42:02.844586, Key pressed: =
Time: 2023-05-26 16:42:04.339618, Key pressed: =
Time: 2023-05-26 16:42:05.848750, Key pressed: =
Time: 2023-05-26 16:42:07.349058, Key pressed: =
Time: 2023-05-26 16:42:08.849070, Key pressed: =
Time: 2023-05-26 16:42:10.349079, Key pressed: =
Time: 2023-05-26 16:42:11.848982, Key pressed: =
Time: 2023-05-26 16:42:13.344630, Key pressed: =
Time: 2023-05-26 16:42:14.849041, Key pressed: =
Time: 2023-05-26 16:42:16.349205, Key pressed: =
Time: 2023-05-26 16:42:17.845157, Key pressed: =
Time: 2023-05-26 16:42:19.339858, Key pressed: =
Time: 2023-05-26 16:42:20.839679, Key pressed: =
Time: 2023-05-26 16:42:22.345027, Key pressed: =
Time: 2023-05-26 16:42:23.839446, Key pressed: =
Time: 2023-05-26 16:42:25.348695, Key pressed: =
Time: 2023-05-26 16:42:26.848787, Key pressed: =
Time: 2023-05-26 16:42:28.344356, Key pressed: =
Time: 2023-05-26 16:42:29.834703, Key pressed: =
Time: 2023-05-26 16:42:31.348973, Key pressed: =
Time: 2023-05-26 16:42:32.839512, Key pressed: =
Time: 2023-05-26 16:42:34.349245, Key pressed: =
Time: 2023-05-26 16:42:35.839442, Key pressed: =
Time: 2023-05-26 16:42:37.339344, Key pressed: =
Time: 2023-05-26 16:42:38.839464, Key pressed: =
Time: 2023-05-26 16:42:40.344412, Key pressed: =
Time: 2023-05-26 16:42:41.848469, Key pressed: =
Time: 2023-05-26 16:42:43.334553, Key pressed: =
Time: 2023-05-26 16:42:44.848413, Key pressed: =
Time: 2023-05-26 16:42:46.339616, Key pressed: =
Time: 2023-05-26 16:42:47.849240, Key pressed: =
Time: 2023-05-26 16:42:49.348919, Key pressed: =
Time: 2023-05-26 16:42:50.848951, Key pressed: =
Time: 2023-05-26 16:42:52.344521, Key pressed: =
Time: 2023-05-26 16:42:53.839307, Key pressed: =
Time: 2023-05-26 16:42:55.349130, Key pressed: =
Time: 2023-05-26 16:42:56.839741, Key pressed: =
Time: 2023-05-26 16:42:58.339432, Key pressed: =
Time: 2023-05-26 16:42:59.834683, Key pressed: =
Time: 2023-05-26 16:43:01.344764, Key pressed: =
Time: 2023-05-26 16:43:02.839562, Key pressed: =
Time: 2023-05-26 16:43:04.339503, Key pressed: =
Time: 2023-05-26 16:43:05.847528, Key pressed: =
Time: 2023-05-26 16:43:07.333446, Key pressed: =
Time: 2023-05-26 16:43:08.847547, Key pressed: =
Time: 2023-05-26 16:43:10.339216, Key pressed: =
Time: 2023-05-26 16:43:11.843590, Key pressed: =
Time: 2023-05-26 16:43:13.343414, Key pressed: =
Time: 2023-05-26 16:43:14.843565, Key pressed: =
Time: 2023-05-26 16:43:16.338914, Key pressed: =
Time: 2023-05-26 16:43:17.843546, Key pressed: =
Time: 2023-05-26 16:43:19.343575, Key pressed: =
Time: 2023-05-26 16:43:20.843766, Key pressed: =
Time: 2023-05-26 16:43:22.343559, Key pressed: =
Time: 2023-05-26 16:43:23.843538, Key pressed: =
Time: 2023-05-26 16:43:25.343488, Key pressed: =
Time: 2023-05-26 16:43:26.843514, Key pressed: =
Time: 2023-05-26 16:43:28.343555, Key pressed: =
Time: 2023-05-26 16:43:29.833791, Key pressed: =
Time: 2023-05-26 16:43:31.354403, Key pressed: =
Time: 2023-05-26 16:43:32.838388, Key pressed: =
Time: 2023-05-26 16:43:34.354985, Key pressed: =
Time: 2023-05-26 16:43:35.848078, Key pressed: =
Time: 2023-05-26 16:43:37.343838, Key pressed: =
Time: 2023-05-26 16:43:38.838958, Key pressed: =
Time: 2023-05-26 16:43:40.343792, Key pressed: =
Time: 2023-05-26 16:43:41.844152, Key pressed: =
