Time: 2023-04-15 16:01:51.142268, Key pressed: =
Time: 2023-04-15 16:01:52.642176, Key pressed: =
Time: 2023-04-15 16:01:54.142727, Key pressed: =
Time: 2023-04-15 16:01:55.636809, Key pressed: =
Time: 2023-04-15 16:01:57.142101, Key pressed: =
Time: 2023-04-15 16:01:58.642283, Key pressed: =
Time: 2023-04-15 16:02:00.142624, Key pressed: =
Time: 2023-04-15 16:02:01.642504, Key pressed: =
Time: 2023-04-15 16:02:03.142098, Key pressed: =
Time: 2023-04-15 16:02:04.641373, Key pressed: =
Time: 2023-04-15 16:02:06.141823, Key pressed: =
Time: 2023-04-15 16:02:07.641837, Key pressed: =
Time: 2023-04-15 16:02:09.141799, Key pressed: =
Time: 2023-04-15 16:02:10.641853, Key pressed: =
Time: 2023-04-15 16:02:12.142186, Key pressed: =
Time: 2023-04-15 16:03:24.454313, Key pressed: 1
Time: 2023-04-15 16:04:05.390061, Key pressed: =
Time: 2023-04-15 16:04:06.890890, Key pressed: =
Time: 2023-04-15 16:04:08.390916, Key pressed: =
Time: 2023-04-15 16:04:09.890442, Key pressed: =
Time: 2023-04-15 16:04:11.391014, Key pressed: =
Time: 2023-04-15 16:04:12.890916, Key pressed: =
Time: 2023-04-15 16:04:14.390355, Key pressed: =
Time: 2023-04-15 16:04:15.890517, Key pressed: =
Time: 2023-04-15 16:04:17.385800, Key pressed: =
Time: 2023-04-15 16:04:18.890189, Key pressed: =
Time: 2023-04-15 16:04:20.389840, Key pressed: =
Time: 2023-04-15 16:04:21.884652, Key pressed: =
Time: 2023-04-15 16:04:23.390255, Key pressed: =
Time: 2023-04-15 16:04:24.889695, Key pressed: =
Time: 2023-04-15 16:04:26.394266, Key pressed: =
Time: 2023-04-15 16:04:27.889766, Key pressed: =
Time: 2023-04-15 16:04:29.394080, Key pressed: =
Time: 2023-04-15 16:04:30.889515, Key pressed: =
Time: 2023-04-15 16:04:32.389865, Key pressed: =
Time: 2023-04-15 16:04:33.889398, Key pressed: =
Time: 2023-04-15 16:04:35.389824, Key pressed: =
Time: 2023-04-15 16:04:36.879911, Key pressed: =
Time: 2023-04-15 16:04:38.389856, Key pressed: =
Time: 2023-04-15 16:04:39.889365, Key pressed: =
Time: 2023-04-15 16:04:41.389231, Key pressed: =
Time: 2023-04-15 16:04:42.889125, Key pressed: =
Time: 2023-04-15 16:04:44.383902, Key pressed: =
Time: 2023-04-15 16:04:45.885031, Key pressed: =
Time: 2023-04-15 16:04:47.389648, Key pressed: =
Time: 2023-04-15 16:04:48.890474, Key pressed: =
Time: 2023-04-15 16:04:50.389907, Key pressed: =
Time: 2023-04-15 16:04:51.885910, Key pressed: =
Time: 2023-04-15 16:04:53.389951, Key pressed: =
Time: 2023-04-15 16:04:54.885195, Key pressed: =
Time: 2023-04-15 16:04:56.385145, Key pressed: =
Time: 2023-04-15 16:04:57.879366, Key pressed: =
Time: 2023-04-15 16:04:59.384803, Key pressed: =
Time: 2023-04-15 16:05:00.879718, Key pressed: =
Time: 2023-04-15 16:05:02.384237, Key pressed: =
Time: 2023-04-15 16:05:03.890415, Key pressed: =
Time: 2023-04-15 16:05:05.393839, Key pressed: =
Time: 2023-04-15 16:05:06.884842, Key pressed: =
Time: 2023-04-15 16:05:08.389371, Key pressed: =
