Time: 2023-04-20 12:26:55.055592, Key pressed: l
Time: 2023-04-20 12:26:55.198813, Key pressed: o
Time: 2023-04-20 12:26:55.316229, Key pressed: c
Time: 2023-04-20 12:26:55.430398, Key pressed: a
Time: 2023-04-20 12:26:55.582362, Key pressed: l
Time: 2023-04-20 12:26:55.649662, Key pressed: enter
Time: 2023-04-20 12:35:33.699138, Key pressed: s
Time: 2023-04-20 12:35:33.816265, Key pressed: k
Time: 2023-04-20 12:35:33.966238, Key pressed: y
Time: 2023-04-20 12:35:34.058995, Key pressed: r
Time: 2023-04-20 12:35:34.152496, Key pressed: a
Time: 2023-04-20 12:35:34.277595, Key pressed: 0
Time: 2023-04-20 12:35:34.400720, Key pressed: 0
Time: 2023-04-20 12:35:34.538997, Key pressed: 7
Time: 2023-04-20 12:35:35.130787, Key pressed: enter
Time: 2023-04-20 12:40:50.232090, Key pressed: ctrl
Time: 2023-04-20 12:40:50.497030, Key pressed: ctrl
Time: 2023-04-20 12:40:50.502284, Key pressed: ctrl
Time: 2023-04-20 12:40:50.507456, Key pressed: t
Time: 2023-04-20 12:40:51.373407, Key pressed: y
Time: 2023-04-20 12:40:51.431594, Key pressed: o
Time: 2023-04-20 12:40:51.543294, Key pressed: u
Time: 2023-04-20 12:40:51.647286, Key pressed: t
Time: 2023-04-20 12:40:51.756950, Key pressed: u
Time: 2023-04-20 12:40:51.917017, Key pressed: b
Time: 2023-04-20 12:40:52.055278, Key pressed: e
Time: 2023-04-20 12:40:53.511471, Key pressed: backspace
Time: 2023-04-20 12:40:53.782216, Key pressed: backspace
Time: 2023-04-20 12:40:53.817560, Key pressed: backspace
Time: 2023-04-20 12:40:53.862743, Key pressed: backspace
Time: 2023-04-20 12:40:53.912779, Key pressed: backspace
Time: 2023-04-20 12:40:53.952762, Key pressed: backspace
Time: 2023-04-20 12:40:53.982228, Key pressed: backspace
Time: 2023-04-20 12:40:54.032384, Key pressed: backspace
Time: 2023-04-20 12:40:54.061910, Key pressed: backspace
Time: 2023-04-20 12:40:54.102804, Key pressed: backspace
Time: 2023-04-20 12:40:54.142980, Key pressed: backspace
Time: 2023-04-20 12:40:54.192599, Key pressed: backspace
Time: 2023-04-20 12:40:54.227838, Key pressed: backspace
Time: 2023-04-20 12:40:54.267475, Key pressed: backspace
Time: 2023-04-20 12:40:54.308070, Key pressed: backspace
Time: 2023-04-20 12:40:54.347856, Key pressed: backspace
Time: 2023-04-20 12:40:54.386966, Key pressed: backspace
Time: 2023-04-20 12:40:54.426808, Key pressed: backspace
Time: 2023-04-20 12:40:54.467666, Key pressed: backspace
Time: 2023-04-20 12:40:54.510730, Key pressed: backspace
Time: 2023-04-20 12:40:54.550795, Key pressed: backspace
Time: 2023-04-20 12:40:54.586212, Key pressed: backspace
Time: 2023-04-20 12:40:54.635484, Key pressed: backspace
Time: 2023-04-20 12:40:54.680468, Key pressed: backspace
Time: 2023-04-20 12:40:54.715037, Key pressed: backspace
Time: 2023-04-20 12:40:54.749936, Key pressed: backspace
Time: 2023-04-20 12:40:54.795775, Key pressed: backspace
Time: 2023-04-20 12:40:54.830469, Key pressed: backspace
Time: 2023-04-20 12:40:54.875463, Key pressed: backspace
Time: 2023-04-20 12:40:54.915489, Key pressed: backspace
Time: 2023-04-20 12:40:54.955661, Key pressed: backspace
Time: 2023-04-20 12:40:54.990312, Key pressed: backspace
Time: 2023-04-20 12:40:55.034913, Key pressed: backspace
Time: 2023-04-20 12:40:55.080215, Key pressed: backspace
Time: 2023-04-20 12:40:55.115615, Key pressed: backspace
Time: 2023-04-20 12:40:55.155432, Key pressed: backspace
Time: 2023-04-20 12:40:55.194774, Key pressed: backspace
Time: 2023-04-20 12:40:55.235022, Key pressed: backspace
Time: 2023-04-20 12:40:55.280544, Key pressed: backspace
Time: 2023-04-20 12:40:55.320284, Key pressed: backspace
Time: 2023-04-20 12:40:55.354894, Key pressed: backspace
Time: 2023-04-20 12:40:55.390423, Key pressed: backspace
Time: 2023-04-20 12:40:55.435027, Key pressed: backspace
Time: 2023-04-20 12:40:55.479116, Key pressed: backspace
Time: 2023-04-20 12:40:55.514273, Key pressed: backspace
Time: 2023-04-20 12:40:55.559689, Key pressed: backspace
Time: 2023-04-20 12:40:55.599950, Key pressed: backspace
Time: 2023-04-20 12:40:55.639833, Key pressed: backspace
Time: 2023-04-20 12:40:55.684255, Key pressed: backspace
Time: 2023-04-20 12:40:55.718185, Key pressed: backspace
Time: 2023-04-20 12:40:55.764052, Key pressed: backspace
Time: 2023-04-20 12:40:55.804444, Key pressed: backspace
Time: 2023-04-20 12:40:55.847688, Key pressed: backspace
Time: 2023-04-20 12:40:55.881953, Key pressed: backspace
Time: 2023-04-20 12:40:55.927365, Key pressed: backspace
Time: 2023-04-20 12:40:55.962360, Key pressed: backspace
Time: 2023-04-20 12:40:56.006735, Key pressed: backspace
Time: 2023-04-20 12:40:56.046171, Key pressed: backspace
Time: 2023-04-20 12:40:56.178510, Key pressed: backspace
Time: 2023-04-20 12:40:56.378427, Key pressed: backspace
Time: 2023-04-20 12:40:56.570463, Key pressed: backspace
Time: 2023-04-20 12:40:56.801419, Key pressed: backspace
Time: 2023-04-20 12:40:57.785942, Key pressed: backspace
Time: 2023-04-20 12:40:58.009328, Key pressed: backspace
Time: 2023-04-20 12:40:58.209954, Key pressed: backspace
Time: 2023-04-20 12:40:58.401975, Key pressed: backspace
Time: 2023-04-20 12:40:58.577922, Key pressed: backspace
Time: 2023-04-20 12:40:58.748080, Key pressed: backspace
Time: 2023-04-20 12:40:58.916357, Key pressed: backspace
Time: 2023-04-20 12:41:45.466587, Key pressed: y
Time: 2023-04-20 12:41:45.521711, Key pressed: o
Time: 2023-04-20 12:41:45.653192, Key pressed: u
Time: 2023-04-20 12:41:45.733081, Key pressed: t
Time: 2023-04-20 12:41:45.858315, Key pressed: u
Time: 2023-04-20 13:04:55.666470, Key pressed: 1
Time: 2023-04-20 13:09:48.505161, Key pressed: y
Time: 2023-04-20 13:09:48.626208, Key pressed: o
Time: 2023-04-20 13:09:48.736231, Key pressed: u
Time: 2023-04-20 13:09:48.885298, Key pressed: t
Time: 2023-04-20 13:09:49.289992, Key pressed: enter
Time: 2023-04-20 13:37:39.308434, Key pressed: esc
Time: 2023-04-20 13:37:57.852460, Key pressed: 1
Time: 2023-04-20 13:38:32.330807, Key pressed: =
Time: 2023-04-20 13:38:33.835107, Key pressed: =
Time: 2023-04-20 13:38:35.325808, Key pressed: =
Time: 2023-04-20 13:38:36.830763, Key pressed: =
Time: 2023-04-20 13:38:38.334957, Key pressed: =
Time: 2023-04-20 13:38:39.838862, Key pressed: =
Time: 2023-04-20 13:38:41.334945, Key pressed: =
Time: 2023-04-20 13:38:42.838726, Key pressed: =
Time: 2023-04-20 13:38:44.330166, Key pressed: =
Time: 2023-04-20 13:38:45.819704, Key pressed: =
Time: 2023-04-20 13:38:47.329729, Key pressed: =
Time: 2023-04-20 13:38:48.830033, Key pressed: =
Time: 2023-04-20 13:38:50.324805, Key pressed: =
Time: 2023-04-20 13:38:51.834867, Key pressed: =
Time: 2023-04-20 13:38:53.329839, Key pressed: =
Time: 2023-04-20 13:38:54.838777, Key pressed: =
Time: 2023-04-20 13:38:56.338732, Key pressed: =
Time: 2023-04-20 13:38:57.838845, Key pressed: =
Time: 2023-04-20 13:38:59.324791, Key pressed: =
Time: 2023-04-20 13:39:00.829952, Key pressed: =
Time: 2023-04-20 13:39:02.334571, Key pressed: =
Time: 2023-04-20 13:39:03.829604, Key pressed: =
Time: 2023-04-20 13:39:05.335067, Key pressed: =
Time: 2023-04-20 13:39:06.834723, Key pressed: =
Time: 2023-04-20 13:39:08.334909, Key pressed: =
Time: 2023-04-20 13:39:09.834764, Key pressed: =
Time: 2023-04-20 13:39:11.338815, Key pressed: =
Time: 2023-04-20 13:39:12.829622, Key pressed: =
Time: 2023-04-20 13:39:14.335010, Key pressed: =
Time: 2023-04-20 13:39:15.838805, Key pressed: =
Time: 2023-04-20 13:39:17.329756, Key pressed: =
Time: 2023-04-20 13:39:18.829713, Key pressed: =
Time: 2023-04-20 13:39:20.329612, Key pressed: =
Time: 2023-04-20 13:39:21.834734, Key pressed: =
Time: 2023-04-20 13:39:23.330105, Key pressed: =
Time: 2023-04-20 13:39:24.834849, Key pressed: =
Time: 2023-04-20 13:39:26.338828, Key pressed: =
Time: 2023-04-20 13:39:27.830228, Key pressed: =
Time: 2023-04-20 13:39:29.329785, Key pressed: =
Time: 2023-04-20 13:39:30.835946, Key pressed: =
Time: 2023-04-20 13:39:32.339367, Key pressed: =
Time: 2023-04-20 13:39:33.830321, Key pressed: =
Time: 2023-04-20 13:39:35.339399, Key pressed: =
Time: 2023-04-20 13:39:36.830696, Key pressed: =
Time: 2023-04-20 13:39:38.325619, Key pressed: =
Time: 2023-04-20 13:39:39.830672, Key pressed: =
Time: 2023-04-20 13:39:41.330603, Key pressed: =
Time: 2023-04-20 13:39:42.834967, Key pressed: =
Time: 2023-04-20 13:39:44.339398, Key pressed: =
Time: 2023-04-20 13:39:45.839719, Key pressed: =
Time: 2023-04-20 13:39:47.335922, Key pressed: =
Time: 2023-04-20 13:39:48.829748, Key pressed: =
Time: 2023-04-20 13:39:50.335749, Key pressed: =
Time: 2023-04-20 13:39:51.830076, Key pressed: =
Time: 2023-04-20 13:39:53.339760, Key pressed: =
Time: 2023-04-20 13:39:54.830397, Key pressed: =
Time: 2023-04-20 13:39:56.335548, Key pressed: =
Time: 2023-04-20 13:39:57.836133, Key pressed: =
Time: 2023-04-20 13:39:59.335055, Key pressed: =
Time: 2023-04-20 13:40:00.835485, Key pressed: =
Time: 2023-04-20 13:40:02.335722, Key pressed: =
Time: 2023-04-20 13:40:03.835415, Key pressed: =
Time: 2023-04-20 13:40:05.335657, Key pressed: =
Time: 2023-04-20 13:40:06.825293, Key pressed: =
Time: 2023-04-20 13:40:08.325259, Key pressed: =
Time: 2023-04-20 13:40:09.830358, Key pressed: =
Time: 2023-04-20 13:40:11.335912, Key pressed: =
Time: 2023-04-20 13:40:12.830799, Key pressed: =
Time: 2023-04-20 13:40:14.335264, Key pressed: =
Time: 2023-04-20 13:40:15.829940, Key pressed: =
Time: 2023-04-20 13:40:17.335113, Key pressed: =
Time: 2023-04-20 13:40:18.830224, Key pressed: =
Time: 2023-04-20 13:40:20.335893, Key pressed: =
Time: 2023-04-20 13:40:21.835373, Key pressed: =
Time: 2023-04-20 13:40:23.335632, Key pressed: =
Time: 2023-04-20 13:40:24.838923, Key pressed: =
Time: 2023-04-20 13:40:26.338933, Key pressed: =
Time: 2023-04-20 13:40:27.830559, Key pressed: =
Time: 2023-04-20 13:40:29.325878, Key pressed: =
Time: 2023-04-20 13:40:30.835118, Key pressed: =
Time: 2023-04-20 13:40:32.335670, Key pressed: =
Time: 2023-04-20 13:40:33.835146, Key pressed: =
Time: 2023-04-20 13:40:35.335422, Key pressed: =
Time: 2023-04-20 13:40:36.835851, Key pressed: =
Time: 2023-04-20 13:40:38.330589, Key pressed: =
Time: 2023-04-20 13:40:39.825700, Key pressed: =
Time: 2023-04-20 13:40:41.335836, Key pressed: =
Time: 2023-04-20 13:40:42.835468, Key pressed: =
Time: 2023-04-20 13:40:44.335624, Key pressed: =
Time: 2023-04-20 13:40:45.835787, Key pressed: =
Time: 2023-04-20 13:40:47.330705, Key pressed: =
Time: 2023-04-20 13:40:48.830548, Key pressed: =
Time: 2023-04-20 13:40:50.330844, Key pressed: =
Time: 2023-04-20 13:40:51.835727, Key pressed: =
Time: 2023-04-20 13:40:53.330496, Key pressed: =
Time: 2023-04-20 13:40:54.835379, Key pressed: =
Time: 2023-04-20 13:40:56.339877, Key pressed: =
Time: 2023-04-20 13:40:57.830849, Key pressed: =
Time: 2023-04-20 13:40:59.336042, Key pressed: =
Time: 2023-04-20 13:41:00.830350, Key pressed: =
Time: 2023-04-20 13:41:02.335288, Key pressed: =
Time: 2023-04-20 13:41:03.835776, Key pressed: =
Time: 2023-04-20 13:41:05.338896, Key pressed: =
Time: 2023-04-20 13:41:06.835055, Key pressed: =
