Time: 2023-05-26 15:19:44.790491, Key pressed: l
Time: 2023-05-26 15:19:44.956905, Key pressed: o
Time: 2023-05-26 15:19:45.081960, Key pressed: c
Time: 2023-05-26 15:19:45.170529, Key pressed: a
Time: 2023-05-26 15:19:45.175731, Key pressed: l
Time: 2023-05-26 15:19:45.274298, Key pressed: enter
Time: 2023-05-26 15:21:31.036138, Key pressed: s
Time: 2023-05-26 15:21:31.113859, Key pressed: k
Time: 2023-05-26 15:21:31.297819, Key pressed: y
Time: 2023-05-26 15:21:31.435977, Key pressed: r
Time: 2023-05-26 15:21:31.487463, Key pressed: a
Time: 2023-05-26 15:21:32.183965, Key pressed: 0
Time: 2023-05-26 15:21:32.437030, Key pressed: 2
Time: 2023-05-26 15:21:32.540392, Key pressed: 1
Time: 2023-05-26 15:21:32.764794, Key pressed: 2
Time: 2023-05-26 15:21:33.293140, Key pressed: backspace
Time: 2023-05-26 15:21:33.748893, Key pressed: shift
Time: 2023-05-26 15:21:33.813413, Key pressed: −
Time: 2023-05-26 15:21:34.052843, Key pressed: r
Time: 2023-05-26 15:21:34.145370, Key pressed: e
Time: 2023-05-26 15:21:34.194200, Key pressed: s
Time: 2023-05-26 15:21:34.307608, Key pressed: t
Time: 2023-05-26 15:21:34.395404, Key pressed: a
Time: 2023-05-26 15:21:34.501564, Key pressed: r
Time: 2023-05-26 15:21:34.652939, Key pressed: t
Time: 2023-05-26 15:21:34.758473, Key pressed: enter
Time: 2023-05-26 15:21:39.219981, Key pressed: 1
Time: 2023-05-26 15:21:39.404261, Key pressed: 1
Time: 2023-05-26 15:24:16.998147, Key pressed: =
Time: 2023-05-26 15:24:18.488685, Key pressed: =
Time: 2023-05-26 15:24:19.222955, Key pressed: 1
Time: 2023-05-26 15:24:19.994780, Key pressed: =
Time: 2023-05-26 15:24:21.494804, Key pressed: =
Time: 2023-05-26 15:24:22.994015, Key pressed: =
Time: 2023-05-26 15:24:24.489364, Key pressed: =
Time: 2023-05-26 15:24:25.993547, Key pressed: =
Time: 2023-05-26 15:24:27.497628, Key pressed: =
Time: 2023-05-26 15:24:28.994141, Key pressed: =
Time: 2023-05-26 15:24:30.498640, Key pressed: =
Time: 2023-05-26 15:24:31.998150, Key pressed: =
Time: 2023-05-26 15:24:33.494056, Key pressed: =
Time: 2023-05-26 15:24:34.993887, Key pressed: =
Time: 2023-05-26 15:24:36.504437, Key pressed: =
Time: 2023-05-26 15:24:37.989494, Key pressed: =
Time: 2023-05-26 15:24:39.494539, Key pressed: =
Time: 2023-05-26 15:24:40.994787, Key pressed: =
Time: 2023-05-26 15:24:42.499274, Key pressed: =
Time: 2023-05-26 15:24:43.995221, Key pressed: =
Time: 2023-05-26 15:24:45.490058, Key pressed: =
Time: 2023-05-26 15:24:46.990197, Key pressed: =
Time: 2023-05-26 15:24:48.495226, Key pressed: =
Time: 2023-05-26 15:24:49.990372, Key pressed: =
Time: 2023-05-26 15:24:51.497084, Key pressed: =
Time: 2023-05-26 15:24:52.995402, Key pressed: =
Time: 2023-05-26 15:24:54.494402, Key pressed: =
Time: 2023-05-26 15:24:55.998905, Key pressed: =
Time: 2023-05-26 15:24:57.494282, Key pressed: =
Time: 2023-05-26 15:24:58.995152, Key pressed: =
Time: 2023-05-26 15:25:00.499016, Key pressed: =
Time: 2023-05-26 15:25:01.990249, Key pressed: =
Time: 2023-05-26 15:25:03.494644, Key pressed: =
Time: 2023-05-26 15:25:04.995094, Key pressed: =
Time: 2023-05-26 15:25:06.495220, Key pressed: =
Time: 2023-05-26 15:25:07.996021, Key pressed: =
Time: 2023-05-26 15:25:09.494942, Key pressed: =
Time: 2023-05-26 15:25:10.994644, Key pressed: =
Time: 2023-05-26 15:25:12.494735, Key pressed: =
Time: 2023-05-26 15:25:13.995282, Key pressed: =
Time: 2023-05-26 15:25:15.486156, Key pressed: =
Time: 2023-05-26 15:25:16.990777, Key pressed: =
Time: 2023-05-26 15:25:18.494846, Key pressed: =
Time: 2023-05-26 15:25:19.989563, Key pressed: =
Time: 2023-05-26 15:25:21.489500, Key pressed: =
Time: 2023-05-26 15:25:22.989879, Key pressed: =
Time: 2023-05-26 15:25:24.493942, Key pressed: =
Time: 2023-05-26 15:25:25.994144, Key pressed: =
Time: 2023-05-26 15:25:27.494663, Key pressed: =
Time: 2023-05-26 15:25:28.988411, Key pressed: =
Time: 2023-05-26 15:25:30.499416, Key pressed: =
Time: 2023-05-26 15:25:31.998234, Key pressed: =
Time: 2023-05-26 15:25:33.497777, Key pressed: =
Time: 2023-05-26 15:25:34.988519, Key pressed: =
Time: 2023-05-26 15:25:36.489001, Key pressed: =
Time: 2023-05-26 15:25:37.993302, Key pressed: =
Time: 2023-05-26 15:25:39.497721, Key pressed: =
Time: 2023-05-26 15:25:40.993640, Key pressed: =
Time: 2023-05-26 15:25:42.493974, Key pressed: =
Time: 2023-05-26 15:25:43.994390, Key pressed: =
Time: 2023-05-26 15:25:45.493025, Key pressed: =
Time: 2023-05-26 15:25:46.993389, Key pressed: =
Time: 2023-05-26 15:25:48.493124, Key pressed: =
Time: 2023-05-26 15:25:49.993983, Key pressed: =
Time: 2023-05-26 15:25:51.498487, Key pressed: =
Time: 2023-05-26 15:25:52.983591, Key pressed: =
Time: 2023-05-26 15:25:54.493654, Key pressed: =
Time: 2023-05-26 15:25:55.988120, Key pressed: =
Time: 2023-05-26 15:25:57.497941, Key pressed: =
Time: 2023-05-26 15:25:58.993537, Key pressed: =
Time: 2023-05-26 15:26:00.493470, Key pressed: =
Time: 2023-05-26 15:26:01.993845, Key pressed: =
Time: 2023-05-26 15:26:03.494042, Key pressed: =
Time: 2023-05-26 15:26:04.993182, Key pressed: =
Time: 2023-05-26 15:26:06.488224, Key pressed: =
Time: 2023-05-26 15:26:07.993431, Key pressed: =
Time: 2023-05-26 15:26:09.493525, Key pressed: =
Time: 2023-05-26 15:26:10.982314, Key pressed: =
Time: 2023-05-26 15:26:12.492448, Key pressed: =
Time: 2023-05-26 15:26:13.992764, Key pressed: =
Time: 2023-05-26 15:26:15.493145, Key pressed: =
Time: 2023-05-26 15:26:16.993606, Key pressed: =
Time: 2023-05-26 15:26:18.488919, Key pressed: =
Time: 2023-05-26 15:26:19.988288, Key pressed: =
Time: 2023-05-26 15:26:21.488483, Key pressed: =
Time: 2023-05-26 15:26:22.988296, Key pressed: =
Time: 2023-05-26 15:26:24.487875, Key pressed: =
Time: 2023-05-26 15:26:25.992551, Key pressed: =
Time: 2023-05-26 15:26:27.487407, Key pressed: =
Time: 2023-05-26 15:26:28.989182, Key pressed: =
Time: 2023-05-26 15:26:30.482090, Key pressed: =
Time: 2023-05-26 15:26:31.992285, Key pressed: =
Time: 2023-05-26 15:26:33.497067, Key pressed: =
Time: 2023-05-26 15:26:34.987791, Key pressed: =
Time: 2023-05-26 15:26:36.493001, Key pressed: =
Time: 2023-05-26 15:26:37.982530, Key pressed: =
Time: 2023-05-26 15:26:39.488146, Key pressed: =
Time: 2023-05-26 15:26:40.986676, Key pressed: =
Time: 2023-05-26 15:26:42.492148, Key pressed: =
Time: 2023-05-26 15:26:43.992217, Key pressed: =
Time: 2023-05-26 15:26:45.492590, Key pressed: =
Time: 2023-05-26 15:26:46.993697, Key pressed: =
Time: 2023-05-26 15:26:48.487503, Key pressed: =
