Time: 2023-05-17 10:11:17.781199, Key pressed: 2
Time: 2023-05-17 10:11:17.810368, Key pressed: 2
Time: 2023-05-17 10:11:17.849802, Key pressed: 2
Time: 2023-05-17 10:11:17.884135, Key pressed: 2
Time: 2023-05-17 10:11:17.889313, Key pressed: 1
Time: 2023-05-17 10:11:18.152094, Key pressed: 1
Time: 2023-05-17 10:11:18.177095, Key pressed: 1
Time: 2023-05-17 10:11:18.215461, Key pressed: 1
Time: 2023-05-17 10:11:18.243325, Key pressed: 1
Time: 2023-05-17 10:11:18.278275, Key pressed: 1
Time: 2023-05-17 10:11:18.307410, Key pressed: 1
Time: 2023-05-17 10:11:18.355982, Key pressed: 1
Time: 2023-05-17 10:11:18.391170, Key pressed: 1
Time: 2023-05-17 10:11:18.415231, Key pressed: 1
Time: 2023-05-17 10:11:18.807329, Key pressed: 1
Time: 2023-05-17 10:11:18.812732, Key pressed: 2
Time: 2023-05-17 10:11:18.833355, Key pressed: 3
Time: 2023-05-17 10:11:19.091547, Key pressed: 3
Time: 2023-05-17 10:11:19.125526, Key pressed: 3
Time: 2023-05-17 10:11:19.159192, Key pressed: 3
Time: 2023-05-17 10:11:19.193452, Key pressed: 3
Time: 2023-05-17 10:11:19.227470, Key pressed: 3
Time: 2023-05-17 10:11:19.258675, Key pressed: 3
Time: 2023-05-17 10:11:19.659420, Key pressed: 2
Time: 2023-05-17 10:11:19.665142, Key pressed: 3
Time: 2023-05-17 10:11:19.691573, Key pressed: 1
Time: 2023-05-17 10:11:19.946748, Key pressed: 1
Time: 2023-05-17 10:11:19.980673, Key pressed: 1
Time: 2023-05-17 10:11:20.015585, Key pressed: 1
Time: 2023-05-17 10:11:20.049189, Key pressed: 1
Time: 2023-05-17 10:11:20.083128, Key pressed: 1
Time: 2023-05-17 10:11:20.117124, Key pressed: 1
Time: 2023-05-17 10:11:20.151289, Key pressed: 1
Time: 2023-05-17 10:11:20.474099, Key pressed: 3
Time: 2023-05-17 10:11:20.484567, Key pressed: 2
Time: 2023-05-17 10:11:20.503595, Key pressed: 1
Time: 2023-05-17 10:11:20.771423, Key pressed: 1
Time: 2023-05-17 10:11:20.801117, Key pressed: 1
Time: 2023-05-17 10:11:20.835031, Key pressed: 1
