Time: 2023-04-21 17:33:06.014345, Key pressed: ctrl
Time: 2023-04-21 17:33:06.280903, Key pressed: ctrl
Time: 2023-04-21 17:33:06.286572, Key pressed: ctrl
Time: 2023-04-21 17:33:06.326120, Key pressed: ctrl
Time: 2023-04-21 17:33:06.337178, Key pressed: ctrl
Time: 2023-04-21 17:33:06.370150, Key pressed: ctrl
Time: 2023-04-21 17:33:06.375786, Key pressed: ctrl
Time: 2023-04-21 17:33:06.409573, Key pressed: ctrl
Time: 2023-04-21 17:33:06.420651, Key pressed: ctrl
Time: 2023-04-21 17:33:06.444569, Key pressed: ctrl
Time: 2023-04-21 17:33:06.450225, Key pressed: ctrl
Time: 2023-04-21 17:33:06.484464, Key pressed: ctrl
Time: 2023-04-21 17:33:06.490099, Key pressed: ctrl
Time: 2023-04-21 17:33:06.514617, Key pressed: ctrl
Time: 2023-04-21 17:33:06.519837, Key pressed: ctrl
Time: 2023-04-21 17:33:06.560459, Key pressed: ctrl
Time: 2023-04-21 17:33:06.566109, Key pressed: ctrl
Time: 2023-04-21 17:33:06.605551, Key pressed: ctrl
Time: 2023-04-21 17:33:06.616270, Key pressed: ctrl
Time: 2023-04-21 17:33:06.645740, Key pressed: ctrl
Time: 2023-04-21 17:33:06.651010, Key pressed: ctrl
Time: 2023-04-21 17:33:06.685640, Key pressed: ctrl
Time: 2023-04-21 17:33:06.690919, Key pressed: ctrl
Time: 2023-04-21 17:33:06.710126, Key pressed: ctrl
Time: 2023-04-21 17:33:28.074208, Key pressed: l
Time: 2023-04-21 17:33:28.280068, Key pressed: o
Time: 2023-04-21 17:33:28.527294, Key pressed: c
Time: 2023-04-21 17:33:29.826091, Key pressed: right
Time: 2023-04-21 17:33:30.575269, Key pressed: /
Time: 2023-04-21 17:33:30.716576, Key pressed: a
Time: 2023-04-21 17:33:30.820264, Key pressed: d
Time: 2023-04-21 17:33:30.937594, Key pressed: m
Time: 2023-04-21 17:33:31.041702, Key pressed: i
Time: 2023-04-21 17:33:31.155665, Key pressed: n
Time: 2023-04-21 17:33:31.228133, Key pressed: enter
Time: 2023-04-21 17:33:37.244870, Key pressed: esc
Time: 2023-04-21 17:33:49.036330, Key pressed: s
Time: 2023-04-21 17:33:49.349040, Key pressed: e
Time: 2023-04-21 17:33:49.585614, Key pressed: s
Time: 2023-04-21 17:33:49.774569, Key pressed: s
Time: 2023-04-21 17:33:50.033526, Key pressed: i
Time: 2023-04-21 17:33:50.137542, Key pressed: d
Time: 2023-04-21 17:33:51.144993, Key pressed: 9
Time: 2023-04-21 17:33:52.809843, Key pressed: enter
Time: 2023-04-21 17:34:06.702757, Key pressed: ctrl
Time: 2023-04-21 17:34:06.782516, Key pressed: t
Time: 2023-04-21 17:34:06.942885, Key pressed: l
Time: 2023-04-21 17:34:07.118630, Key pressed: o
Time: 2023-04-21 17:34:07.235224, Key pressed: c
Time: 2023-04-21 17:34:07.319476, Key pressed: l
Time: 2023-04-21 17:34:07.561316, Key pressed: enter
Time: 2023-04-21 17:34:08.069049, Key pressed: ctrl
Time: 2023-04-21 17:34:08.185482, Key pressed: l
Time: 2023-04-21 17:34:08.340551, Key pressed: l
Time: 2023-04-21 17:34:08.514492, Key pressed: o
Time: 2023-04-21 17:34:08.638778, Key pressed: c
Time: 2023-04-21 17:34:08.716402, Key pressed: a
Time: 2023-04-21 17:34:08.822437, Key pressed: l
Time: 2023-04-21 17:34:08.913389, Key pressed: enter
Time: 2023-04-21 17:34:14.865905, Key pressed: p
Time: 2023-04-21 17:34:15.020484, Key pressed: r
Time: 2023-04-21 17:34:15.130256, Key pressed: i
Time: 2023-04-21 17:34:15.225746, Key pressed: s
Time: 2023-04-21 17:34:15.367953, Key pressed: m
Time: 2023-04-21 17:34:15.492631, Key pressed: a
Time: 2023-04-21 17:34:16.381347, Key pressed: 0
Time: 2023-04-21 17:34:16.529728, Key pressed: 0
Time: 2023-04-21 17:34:17.538248, Key pressed: 9
Time: 2023-04-21 17:34:19.337317, Key pressed: enter
Time: 2023-04-21 18:01:55.926344, Key pressed: y
Time: 2023-04-21 18:01:56.477695, Key pressed: o
Time: 2023-04-21 18:01:56.698682, Key pressed: u
Time: 2023-04-21 18:01:57.448468, Key pressed: enter
Time: 2023-04-21 18:19:38.844362, Key pressed: esc
Time: 2023-04-21 18:19:53.365743, Key pressed: 1
Time: 2023-04-21 18:19:53.640786, Key pressed: 1
Time: 2023-04-21 18:19:53.684431, Key pressed: 1
Time: 2023-04-21 18:19:55.885401, Key pressed: 1
Time: 2023-04-21 18:23:08.815205, Key pressed: =
Time: 2023-04-21 18:23:10.329602, Key pressed: =
Time: 2023-04-21 18:23:11.829477, Key pressed: =
Time: 2023-04-21 18:23:13.326433, Key pressed: =
Time: 2023-04-21 18:23:14.829837, Key pressed: =
Time: 2023-04-21 18:23:16.329391, Key pressed: =
Time: 2023-04-21 18:23:17.820243, Key pressed: =
Time: 2023-04-21 18:23:19.319968, Key pressed: =
Time: 2023-04-21 18:23:20.820985, Key pressed: =
Time: 2023-04-21 18:23:22.320269, Key pressed: =
Time: 2023-04-21 18:23:23.829538, Key pressed: =
Time: 2023-04-21 18:23:25.320767, Key pressed: =
Time: 2023-04-21 18:23:26.825473, Key pressed: =
Time: 2023-04-21 18:23:28.325695, Key pressed: =
Time: 2023-04-21 18:23:29.835629, Key pressed: =
Time: 2023-04-21 18:23:31.335610, Key pressed: =
Time: 2023-04-21 18:23:32.820241, Key pressed: =
Time: 2023-04-21 18:23:34.314990, Key pressed: =
Time: 2023-04-21 18:23:35.830394, Key pressed: =
Time: 2023-04-21 18:23:37.329303, Key pressed: =
Time: 2023-04-21 18:23:38.829103, Key pressed: =
Time: 2023-04-21 18:23:40.322134, Key pressed: =
Time: 2023-04-21 18:23:41.820150, Key pressed: =
Time: 2023-04-21 18:23:43.329967, Key pressed: =
Time: 2023-04-21 18:23:44.829832, Key pressed: =
Time: 2023-04-21 18:23:46.330045, Key pressed: =
Time: 2023-04-21 18:23:47.820261, Key pressed: =
Time: 2023-04-21 18:23:49.325342, Key pressed: =
Time: 2023-04-21 18:23:50.829617, Key pressed: =
Time: 2023-04-21 18:23:52.329917, Key pressed: =
Time: 2023-04-21 18:23:53.830027, Key pressed: =
Time: 2023-04-21 18:23:55.329704, Key pressed: =
Time: 2023-04-21 18:23:56.829998, Key pressed: =
Time: 2023-04-21 18:23:58.320411, Key pressed: =
Time: 2023-04-21 18:23:59.825793, Key pressed: =
Time: 2023-04-21 18:24:01.325253, Key pressed: =
Time: 2023-04-21 18:24:02.825555, Key pressed: =
Time: 2023-04-21 18:24:04.330099, Key pressed: =
Time: 2023-04-21 18:24:05.825392, Key pressed: =
Time: 2023-04-21 18:24:07.329814, Key pressed: =
Time: 2023-04-21 18:24:08.820617, Key pressed: =
Time: 2023-04-21 18:24:10.330082, Key pressed: =
Time: 2023-04-21 18:24:11.825597, Key pressed: =
Time: 2023-04-21 18:24:13.329429, Key pressed: =
Time: 2023-04-21 18:24:14.825778, Key pressed: =
Time: 2023-04-21 18:24:16.326161, Key pressed: =
Time: 2023-04-21 18:24:17.825299, Key pressed: =
Time: 2023-04-21 18:24:19.320406, Key pressed: =
Time: 2023-04-21 18:24:20.821162, Key pressed: =
Time: 2023-04-21 18:24:22.325737, Key pressed: =
Time: 2023-04-21 18:24:23.825463, Key pressed: =
Time: 2023-04-21 18:24:25.326591, Key pressed: =
Time: 2023-04-21 18:24:26.825312, Key pressed: =
Time: 2023-04-21 18:24:28.326458, Key pressed: =
Time: 2023-04-21 18:24:29.825605, Key pressed: =
Time: 2023-04-21 18:24:31.325321, Key pressed: =
Time: 2023-04-21 18:24:32.825364, Key pressed: =
Time: 2023-04-21 18:24:34.329906, Key pressed: =
Time: 2023-04-21 18:24:35.825422, Key pressed: =
Time: 2023-04-21 18:24:37.326541, Key pressed: =
Time: 2023-04-21 18:24:38.830200, Key pressed: =
Time: 2023-04-21 18:24:40.329792, Key pressed: =
Time: 2023-04-21 18:24:41.830113, Key pressed: =
Time: 2023-04-21 18:24:43.326004, Key pressed: =
Time: 2023-04-21 18:24:44.820959, Key pressed: =
Time: 2023-04-21 18:24:46.330277, Key pressed: =
Time: 2023-04-21 18:24:47.825611, Key pressed: =
Time: 2023-04-21 18:24:49.330294, Key pressed: =
Time: 2023-04-21 18:24:50.826360, Key pressed: =
Time: 2023-04-21 18:24:52.321505, Key pressed: =
Time: 2023-04-21 18:24:53.830259, Key pressed: =
Time: 2023-04-21 18:24:55.325590, Key pressed: =
Time: 2023-04-21 18:24:56.830473, Key pressed: =
Time: 2023-04-21 18:24:58.326084, Key pressed: =
Time: 2023-04-21 18:24:59.826375, Key pressed: =
Time: 2023-04-21 18:25:01.330051, Key pressed: =
Time: 2023-04-21 18:25:02.826005, Key pressed: =
Time: 2023-04-21 18:25:04.321793, Key pressed: =
Time: 2023-04-21 18:25:05.815449, Key pressed: =
Time: 2023-04-21 18:25:07.325693, Key pressed: =
Time: 2023-04-21 18:25:08.826286, Key pressed: =
Time: 2023-04-21 18:25:10.330279, Key pressed: =
Time: 2023-04-21 18:25:11.820568, Key pressed: =
Time: 2023-04-21 18:25:13.326146, Key pressed: =
Time: 2023-04-21 18:25:14.821106, Key pressed: =
Time: 2023-04-21 18:25:16.320463, Key pressed: =
Time: 2023-04-21 18:25:17.831075, Key pressed: =
Time: 2023-04-21 18:25:19.325862, Key pressed: =
Time: 2023-04-21 18:25:20.815590, Key pressed: =
Time: 2023-04-21 18:25:22.330117, Key pressed: =
Time: 2023-04-21 18:25:23.825957, Key pressed: =
