Time: 2023-05-26 13:32:04.474769, Key pressed: esc
Time: 2023-05-26 13:33:03.181566, Key pressed: 1
Time: 2023-05-26 13:33:05.268160, Key pressed: 1
Time: 2023-05-26 13:34:43.680167, Key pressed: =
Time: 2023-05-26 13:34:45.176449, Key pressed: =
Time: 2023-05-26 13:34:46.680390, Key pressed: =
Time: 2023-05-26 13:34:48.175959, Key pressed: =
Time: 2023-05-26 13:34:49.680299, Key pressed: =
Time: 2023-05-26 13:34:51.180283, Key pressed: =
Time: 2023-05-26 13:34:52.680295, Key pressed: =
Time: 2023-05-26 13:34:54.180165, Key pressed: =
Time: 2023-05-26 13:34:55.675857, Key pressed: =
Time: 2023-05-26 13:34:57.180344, Key pressed: =
Time: 2023-05-26 13:34:58.680310, Key pressed: =
Time: 2023-05-26 13:35:00.170771, Key pressed: =
Time: 2023-05-26 13:35:01.679811, Key pressed: =
Time: 2023-05-26 13:35:03.175439, Key pressed: =
Time: 2023-05-26 13:35:04.680396, Key pressed: =
Time: 2023-05-26 13:35:06.176360, Key pressed: =
Time: 2023-05-26 13:35:07.680473, Key pressed: =
Time: 2023-05-26 13:35:09.180290, Key pressed: =
Time: 2023-05-26 13:35:10.675846, Key pressed: =
Time: 2023-05-26 13:35:12.180455, Key pressed: =
Time: 2023-05-26 13:35:13.680233, Key pressed: =
Time: 2023-05-26 13:35:15.170999, Key pressed: =
Time: 2023-05-26 13:35:16.680232, Key pressed: =
Time: 2023-05-26 13:35:18.176514, Key pressed: =
Time: 2023-05-26 13:35:19.681322, Key pressed: =
Time: 2023-05-26 13:35:21.180343, Key pressed: =
Time: 2023-05-26 13:35:22.680401, Key pressed: =
Time: 2023-05-26 13:35:24.180505, Key pressed: =
Time: 2023-05-26 13:35:25.680420, Key pressed: =
Time: 2023-05-26 13:35:27.175992, Key pressed: =
Time: 2023-05-26 13:35:28.675976, Key pressed: =
Time: 2023-05-26 13:35:30.179941, Key pressed: =
Time: 2023-05-26 13:35:31.676619, Key pressed: =
Time: 2023-05-26 13:35:33.171593, Key pressed: =
Time: 2023-05-26 13:35:34.680406, Key pressed: =
Time: 2023-05-26 13:35:36.180382, Key pressed: =
Time: 2023-05-26 13:35:37.670923, Key pressed: =
Time: 2023-05-26 13:35:39.179916, Key pressed: =
Time: 2023-05-26 13:35:40.675931, Key pressed: =
Time: 2023-05-26 13:35:42.176211, Key pressed: =
Time: 2023-05-26 13:35:43.679846, Key pressed: =
Time: 2023-05-26 13:35:45.180398, Key pressed: =
Time: 2023-05-26 13:35:46.680009, Key pressed: =
Time: 2023-05-26 13:35:48.171613, Key pressed: =
Time: 2023-05-26 13:35:49.679866, Key pressed: =
Time: 2023-05-26 13:35:51.180084, Key pressed: =
Time: 2023-05-26 13:35:52.671653, Key pressed: =
Time: 2023-05-26 13:35:54.177864, Key pressed: =
Time: 2023-05-26 13:35:55.669771, Key pressed: =
Time: 2023-05-26 13:35:57.180385, Key pressed: =
Time: 2023-05-26 13:35:58.676143, Key pressed: =
Time: 2023-05-26 13:36:00.180155, Key pressed: =
Time: 2023-05-26 13:36:01.669794, Key pressed: =
Time: 2023-05-26 13:36:03.179776, Key pressed: =
Time: 2023-05-26 13:36:04.679571, Key pressed: =
Time: 2023-05-26 13:36:06.179463, Key pressed: =
Time: 2023-05-26 13:36:07.679671, Key pressed: =
Time: 2023-05-26 13:36:09.179912, Key pressed: =
Time: 2023-05-26 13:36:10.679348, Key pressed: =
Time: 2023-05-26 13:36:12.179700, Key pressed: =
Time: 2023-05-26 13:36:13.679613, Key pressed: =
Time: 2023-05-26 13:36:15.179852, Key pressed: =
Time: 2023-05-26 13:36:16.679688, Key pressed: =
Time: 2023-05-26 13:36:18.170104, Key pressed: =
Time: 2023-05-26 13:36:19.675025, Key pressed: =
Time: 2023-05-26 13:36:21.179373, Key pressed: =
Time: 2023-05-26 13:36:22.679548, Key pressed: =
Time: 2023-05-26 13:36:24.179402, Key pressed: =
Time: 2023-05-26 13:36:25.679537, Key pressed: =
Time: 2023-05-26 13:36:27.175044, Key pressed: =
Time: 2023-05-26 13:36:28.679682, Key pressed: =
Time: 2023-05-26 13:36:30.170028, Key pressed: =
