start	end	text    	trial
28000	44000	So, this one is, it looks like a dude riding a, like an animal, and the animal, the animal is facing to the left, and the person's head is a square.	1
44000	50000	And the tail of the animal... 	1
57000	78000	Okay, this one looks kind of like a bunny rabbit, like two triangles on the top of its head, and it's like the bunny rabbit is like, the bunny rabbit's body is a triangle.	2
78000	95000	Okay, this one looks like, like a priest who has his hands out pointed to the left, his head is a square.	3
95000	119000	Okay, this one is like a bulkier priest, and his, he has like a little stubby arm pointing to the right, and it's a triangle, and his head is a square, and the foot...	4
119000	138000	Okay, this one looks like, looks like an animal, his head is a parallelogram, and it's like pointing to the left. it has two, like, legs.	5
138000	148000	Okay, this one, this one looks like an upside down Y, and the top is a square. Um, the bottom...	6
159000	175000	Okay, this one looks like, just like an oval blob with a square on top, and like a tiny thing jutting out on the bottom right side.	7
175000	180000	Like, looks like a, like a...	7
180000	195000	Like, like the thick priest, but like, there's a little triangle.	7
195000	210000	Okay, this one has a triangle for the base, but then at the, at the bottom right corner of the triangle is another upside down triangle, and the top is a square.	8
210000	227000	And on the left and right side, there's like two more shapes jutting out.	8
227000	245000	Okay, this one looks like a scuba diver, and the little flipper leg, the flipper feet are two triangles at the bottom.	9
245000	270000	Okay, this one is like, it's very simple, it's just a parallelogram, and then there's like a line coming down on the left side.	10
270000	286000	Okay, this one looks like, if you think of like a monk with like their robes, they're like, he's like standing, and he's facing to the left, and he's lifting one of his legs up.	11
286000	303000	His head is a square, the feet are little triangles.	11
303000	314000	Um, another way to think of it is... oh nice.	11
314000	335000	Okay, this one is just kind of like a line of shapes going from the top left to the bottom right. It starts with like a triangle, then a trapezoid, then a parallelogram, and then a triangle.	12
335000	359000	This one reminds me of someone doing a handstand, like there's a square on the bottom that I think is the head, and then the top is just a small triangle, and then there's a big triangle at the bottom, at the very bottom.	13
359000	371000	And the the square is kind of like a quarter of the way up from the bottom of the picture.	13
371000	382000	The top is like a tiny triangle.	13
382000	391000	This one reminds me of someone praying. The bottom is a parallelogram, and they're kneeling towards the right.	14
391000	402000	The bottom is a parallelogram.	14
402000	420000	This one is like a scorpion. It has like a square, and then two triangle arms and a tail going to the down to the right.	15
420000	446000	Um, uh, the bottom right, like the tail part, is a parallelogram, and there's like there's a there's a triangle at the top that has like two triangles next to it, kind of making three points, kind of like a crown.	15
446000	465000	This is someone sitting down. Their feet are pointed towards the left, and their head is tilted down a little bit.	16
465000	489000	Okay, this one is a rectangle, slanted, pointing from the top left to the bottom right, and then there's like shapes attached to it, so there's a triangle on like the bottom side.	17
489000	506000	This one is a house, and there's a rectangle on the right side sticking up.	18
506000	531000	This one has a square on the top, and then like two triangles pointed out from the sides, but the triangle on the right is like detached from the main body, and then the bottom is like a bunch of shapes.	19
531000	551000	Okay, this one looks like the animal from before, but its head is a triangle, and its front legs are bigger than the back legs, and it has a parallelogram tail.	20
551000	569000	This one reminds me of an ostrich. Its head is pointed to the right, and it has two triangle feet at the bottom. It looks like a swan or something.	21
569000	596000	This one reminds me of a person dancing, kind of. There's a rectangle at the base, kind of going up and down, and then there's a triangle on the right, and then on the left side of the rectangle is a square and two more triangles, like the person's arms. They're doing like a thingy.	22
596000	619000	This one is a symmetrical object, square on the top, looks like a spaceship on the bottom.	23
619000	639000	Okay, this one also symmetrical. This one is two diamonds on top of each other with a square on top.	24
639000	653000	Okay, this one is like the person praying. Oh. Oops.	25
653000	681000	Okay, this one is um this one is a little complicated. There's a square on the top, um, and then at the bottom, there's a parallelogram on the right, and then kind of like a hook shape on the left, made by like a triangle and a rectangle.	26
681000	696000	Um um it reminds me of like a can opener at the bottom. Um.	26
696000	710000	Okay, this is a house, but the rectangle is on the left side and there's an arrow at the top.	27
710000	724000	Okay, this one is there's um a square at the top, and then towards the right side, and then a triangle on the left side upside down.	28
724000	739000	Um and then there's like a big rectangle type thing slanted from the top right to the bottom left.	28
739000	757000	This one reminds me of a pillar or some kind of tower. There's um a rectangular base with like a triangle thing.	29
757000	780000	This one is like a person with their arms up. There's a triangle on the top, and then two... the main body is a big parallelogram, and they have their hands with their arms up.	30
780000	806000	Okay, this one looks like another person riding an animal. The animal is facing the left. The person has a square head. The animal has a triangle head and a triangle tail.	31
806000	824000	Okay, this one has a square at the top, and then also a triangle at the top on the right side, which is kind of detached. And then on towards the middle on the right side, there's another detached triangle.	32
824000	828000	And the bottom left is a parallelogram.	32
828000	837000	It's kind of a weird shape.	32
837000	856000	Okay, this one reminds me of a totem pole. It's just a pole and then two triangles stuck on the side, or two trapezoids stuck on the side.	33
856000	883000	This one is someone diving down into water. The top is two triangles, and then the bottom is like a square head and two arm-like things.	34
883000	901000	Okay, this is rectangle at the bottom, and then skinny rectangle going up on the left with a triangle on top.	35
901000	921000	This one is just a symmetrical upside down trapezoid with two parallelograms on either side, kind of pointing inwards.	36
