filename	acq_time	operator	randstr
anat/sub-s005_T1w.nii.gz	2023-04-18T11:27:41	n/a	3553d0cd
func/sub-s005_task-PreExposure_run-01_bold.nii.gz	2023-04-18T11:53:59	n/a	deeb49bf
func/sub-s005_task-PreTest_run-01_bold.nii.gz	2023-04-18T11:59:27	n/a	46e353a3
func/sub-s005_task-Repeated_run-01_bold.nii.gz	2023-04-18T12:19:47	n/a	ccf1bee9
func/sub-s005_task-Repeated_run-02_bold.nii.gz	2023-04-18T12:27:01	n/a	600b1d33
func/sub-s005_task-Repeated_run-03_bold.nii.gz	2023-04-18T12:33:03	n/a	50ab77bd
func/sub-s005_task-Repeated_run-04_bold.nii.gz	2023-04-18T12:39:15	n/a	3933618c
func/sub-s005_task-Repeated_run-05_bold.nii.gz	2023-04-18T12:44:28	n/a	64536df9
func/sub-s005_task-Repeated_run-06_bold.nii.gz	2023-04-18T12:49:54	n/a	0293c4b1
func/sub-s005_task-PostTest_run-01_bold.nii.gz	2023-04-18T12:55:29	n/a	97ce0e30
func/sub-s005_task-PostExposure_run-01_bold.nii.gz	2023-04-18T13:07:22	n/a	4b383adc
fmap/sub-s005_dir-AP_epi.nii.gz	2023-04-18T13:12:05	n/a	682cd975
fmap/sub-s005_dir-PA_epi.nii.gz	2023-04-18T13:12:46	n/a	bbc53de2
