filename	acq_time	operator	randstr
anat/sub-s020_T1w.nii.gz	2023-05-26T11:15:46.670000	n/a	20f7466a
func/sub-s020_task-PreExposure_run-01_bold.nii.gz	2023-05-26T11:30:03.607500	n/a	18b30e2a
func/sub-s020_task-PreTest_run-01_bold.nii.gz	2023-05-26T11:38:45.892500	n/a	bc5642af
func/sub-s020_task-Repeated_run-01_bold.nii.gz	2023-05-26T12:08:12.790000	n/a	a9bdafd3
func/sub-s020_task-Repeated_run-02_bold.nii.gz	2023-05-26T12:20:36.512500	n/a	20b6f730
func/sub-s020_task-Repeated_run-03_bold.nii.gz	2023-05-26T12:32:17.242500	n/a	caa65ae0
func/sub-s020_task-Repeated_run-04_bold.nii.gz	2023-05-26T12:39:17.417500	n/a	3e54e50b
func/sub-s020_task-Repeated_run-05_bold.nii.gz	2023-05-26T12:45:19.462500	n/a	0677a386
func/sub-s020_task-Repeated_run-06_bold.nii.gz	2023-05-26T12:51:28.490000	n/a	059de960
func/sub-s020_task-PostTest_run-01_bold.nii.gz	2023-05-26T12:57:36.695000	n/a	2aa20d29
func/sub-s020_task-PostExposure_run-01_bold.nii.gz	2023-05-26T13:11:36.455000	n/a	64a9aefc
fmap/sub-s020_dir-AP_epi.nii.gz	2023-05-26T13:16:39.622500	n/a	de028dc7
fmap/sub-s020_dir-PA_epi.nii.gz	2023-05-26T13:17:19.937500	n/a	7b14a7d8
