,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_derivative1,trans_y_derivative1,trans_z_derivative1,rot_x_derivative1,rot_y_derivative1,rot_z_derivative1,trans_x_derivative1_power2,trans_y_derivative1_power2,trans_z_derivative1_power2,rot_x_derivative1_power2,rot_y_derivative1_power2,rot_z_derivative1_power2,trans_x_power2,trans_y_power2,trans_z_power2,rot_x_power2,rot_y_power2,rot_z_power2,global_signal,csf,white_matter
0,0.0488814,0.0564255,-0.10983,0.000129726,-0.000410444,0.00036542,0.0024052999999999,0.1082325,0.0126006999999999,0.000255469,0.0004522954999999,0.000264553,5.785468089999996e-06,0.01171427405625,0.0001587776404899,6.526440996100002e-08,2.0457121932025e-07,6.998828980900002e-08,0.00238939126596,0.00318383705025,0.0120626288999999,1.6828835076000003e-08,1.68464277136e-07,1.335317764e-07,682.6476400054415,477.61135434165664,480.5252078010235
1,0.0512867,0.164658,-0.0972293,0.000385195,4.18515e-05,0.000629973,0.0024052999999999,0.1082325,0.0126006999999999,0.000255469,0.0004522954999999,0.000264553,5.785468089999996e-06,0.01171427405625,0.0001587776404899,6.526440996100002e-08,2.0457121932025e-07,6.998828980900002e-08,0.00263032559689,0.027112256964,0.00945353677849,1.4837518802500004e-07,1.7515480522499995e-09,3.96865980729e-07,681.4564072333459,468.53751153449656,480.1229836880229
2,0.0490195,-0.0241075,-0.0683925,6.7641e-05,0.000129126,0.000449361,-0.0022671999999999,-0.1887655,0.0288368,-0.000317554,8.72745e-05,-0.000180612,5.140195839999986e-06,0.03563241399025,0.00083156103424,1.00840542916e-07,7.61683835025e-09,3.2620694544000015e-08,0.00240291138025,0.00058117155625,0.0046775340562499,4.575304881e-09,1.6673523876e-08,2.01925308321e-07,682.4616046589646,464.489406151656,480.0937746703159
3,0.0370189,0.0623147,-0.0452417,0.000422023,7.82095e-05,0.00027147,-0.0120006,0.0864222,0.0231507999999999,0.000354382,-5.091649999999999e-05,-0.000177891,0.00014401440036,0.00746879665284,0.0005359595406399,1.2558660192399998e-07,2.592489972249999e-09,3.1645207881e-08,0.00137039895721,0.00388312183609,0.00204681141889,1.78103412529e-07,6.11672589025e-09,7.36959609e-08,683.7964719731917,469.5285439542474,480.4443404942751
4,0.0193865,0.0669851,-0.0620719,0.000863743,0.000565593,0.000425485,-0.0176324,0.0046704,-0.0168301999999999,0.00044172,0.0004873835,0.000154015,0.0003109015297599,2.181263616000005e-05,0.0002832556320399,1.9511655840000008e-07,2.3754267607225e-07,2.3720620225000008e-08,0.00037583638225,0.00448700362201,0.00385292076961,7.460519700490001e-07,3.19895441649e-07,1.8103748522500008e-07,682.151811960538,470.5419103377847,480.4777359458152
5,0.00408621,0.0670244,-0.0151156,-6.69335e-05,-1.99443e-05,-2.10799e-06,-0.01530029,3.929999999999212e-05,0.0469563,-0.0009306765,-0.0005855373,-0.00042759299,0.0002340988740841,1.5444899999993806e-09,0.00220489410969,8.6615874765225e-07,3.4285392969129e-07,1.8283576509714013e-07,1.66971121641e-05,0.0044922701953599,0.00022848136336,4.48009342225e-09,3.9777510249000005e-10,4.4436218401e-12,681.4512160921599,469.66567449189625,480.281184797734
6,0.0022269,0.0670423,-0.0150955,0.000552977,-0.00010449,0.000101494,-0.0018593099999999,1.7900000000001248e-05,2.010000000000033e-05,0.0006199105,-8.454569999999999e-05,0.00010360199,3.4570336761e-06,3.2041000000004465e-10,4.04010000000013e-10,3.842890280102499e-07,7.1479753884899995e-09,1.07333723319601e-08,4.95908361e-06,0.0044946699892899,0.00022787412025,3.05783562529e-07,1.09181601e-08,1.0301032036e-08,679.9245318448883,467.1589103965048,479.8713559700642
7,-0.00184381,0.11593,-0.0062729,-0.000698802,-1.99443e-05,7.75345e-05,-0.00407071,0.0488877,0.0088226,-0.001251779,8.454569999999999e-05,-2.39595e-05,1.65706799041e-05,0.00239000721129,7.783827076e-05,1.566950664841e-06,7.1479753884899995e-09,5.740576402499997e-10,3.3996353161e-06,0.0134397649,3.934927441e-05,4.88324235204e-07,3.9777510249000005e-10,6.01159869025e-09,679.0710031141638,468.1316289659508,479.61554181827233
8,-0.0173654,0.0338437,-0.0471118,-0.000169118,-0.00013126,-5.64193e-05,-0.01552159,-0.0820863,-0.0408389,0.000529684,-0.0001113156999999,-0.0001339538,0.0002409197561281,0.00673816064769,0.00166781575321,2.80565139856e-07,1.2391185066489996e-08,1.794362053444e-08,0.00030155711716,0.0011453960296899,0.00221952169924,2.8600897924e-08,1.7229187599999995e-08,3.18313741249e-09,679.1387200321586,463.4054644425535,480.0429037380964
9,0.00461571,0.0786006,-0.0111132,-0.000698802,-0.000277545,-0.00011368,0.0219811099999999,0.0447569,0.0359986,-0.000529684,-0.000146285,-5.72607e-05,0.000483169196832,0.00200318009761,0.00129589920196,2.80565139856e-07,2.139930122500001e-08,3.27878776449e-09,2.1304778804100004e-05,0.00617805432036,0.00012350321424,4.88324235204e-07,7.703122702500003e-08,1.2923142399999998e-08,679.9250164879181,466.8861382521262,479.93676419775
