,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_derivative1,trans_y_derivative1,trans_z_derivative1,rot_x_derivative1,rot_y_derivative1,rot_z_derivative1,trans_x_derivative1_power2,trans_y_derivative1_power2,trans_z_derivative1_power2,rot_x_derivative1_power2,rot_y_derivative1_power2,rot_z_derivative1_power2,trans_x_power2,trans_y_power2,trans_z_power2,rot_x_power2,rot_y_power2,rot_z_power2,global_signal,csf,white_matter
0,5.398849999999996e-10,0.0516816,0.0717168,-0.0017336,-0.0,0.0,0.010254799460115,0.0615163999999999,0.0980442,0.001946907,0.000289758,-0.000240092,0.0001051609119671,0.0037842674689599,0.00961266515364,3.790446866649001e-06,8.395969856399999e-08,5.7644168464e-08,2.914758132249998e-19,0.00267098777856,0.00514329940224,3.00536896e-06,0.0,0.0,566.6219439301948,427.40757335465656,424.5576580619696
1,0.0102548,0.113198,0.169761,0.000213307,0.000289758,-0.000240092,0.010254799460115,0.0615163999999999,0.0980442,0.001946907,0.000289758,-0.000240092,0.0001051609119671,0.0037842674689599,0.00961266515364,3.790446866649001e-06,8.395969856399999e-08,5.7644168464e-08,0.0001051609230399,0.012813787204,0.028818797121,4.5499876249e-08,8.395969856399999e-08,5.7644168464e-08,565.2983562593975,428.2281640517498,423.961156318852
2,0.0087081,-0.00994852,0.0758033,0.00148168,0.00030627,-0.000454903,-0.0015466999999999,-0.12314652,-0.0939576999999999,0.001268373,1.6511999999999994e-05,-0.000214811,2.3922808899999994e-06,0.0151650653881103,0.0088280493892899,1.6087700671289998e-06,2.726461439999998e-10,4.6143765721e-08,7.583100561e-05,9.897305019040002e-05,0.00574614029089,2.1953756224e-06,9.380131289999998e-08,2.06936739409e-07,565.4563179281043,430.8295381162496,423.8685697785151
3,-0.00764207,-0.0100239,0.0431929,0.00132366,0.000893552,-0.000142896,-0.01635017,-7.537999999999989e-05,-0.0326104,-0.00015802,0.000587282,0.000312007,0.0002673280590289,5.682144399999984e-09,0.00106343818816,2.497032040000001e-08,3.449001475240001e-07,9.7348368049e-08,5.84012338849e-05,0.00010047857121,0.00186562661041,1.7520757956e-06,7.984351767040001e-07,2.0419266816e-08,566.9776409085247,419.34555940120254,425.08102475629306
4,0.00306847,-0.0189174,0.0617612,0.000511599,0.000385424,-2.64606e-05,0.01071054,-0.0088935,0.0185683,-0.000812061,-0.000508128,0.0001164353999999,0.0001147156670915,7.909434225e-05,0.00034478176489,6.59443067721e-07,2.5819406438400004e-07,1.3557202373159998e-08,9.4155081409e-06,0.00035786802276,0.00381444582544,2.61733536801e-07,1.48551659776e-07,7.0016335236e-10,568.1515262681282,421.60250564652847,424.5145640502786
5,0.0061594,0.0401583,0.0612657,0.000655619,0.00019823,-0.00014519,0.00309093,0.0590757,-0.0004955,0.00014402,-0.0001871939999999,-0.0001187294,9.5538482649e-06,0.00348993833049,2.455202500000029e-07,2.0741760400000004e-08,3.504159363599999e-08,1.4096670424360002e-08,3.793820836e-05,0.00161268905889,0.00375348599649,4.29836273161e-07,3.92951329e-08,2.1080136100000003e-08,568.5659823428037,430.37397225077257,424.9782645739979
6,-5.09034e-05,0.022424,0.0165941,0.00134656,0.000385424,6.16121e-05,-0.0062103034,-0.0177343,-0.0446716,0.0006909409999999,0.0001871939999999,0.0002068021,3.856786832005156e-05,0.00031450539649,0.00199555184656,4.773994654809999e-07,3.504159363599999e-08,4.276710856441e-08,2.5911561315599997e-09,0.000502835776,0.00027536415481,1.8132238336e-06,1.48551659776e-07,3.79605086641e-09,569.3323819896098,436.18447528162847,424.82842730320726
7,0.0116658,0.0642039,0.140431,-0.000192455,0.000385424,-7.93017e-05,0.0117167034,0.0417798999999999,0.1238369,-0.001539015,0.0,-0.0001409138,0.0001372811385635,0.0017455600440099,0.01533557780161,2.368567170225e-06,0.0,1.985669903044e-08,0.00013609088964,0.0041221407752099,0.019720865761,3.7038927025000004e-08,1.48551659776e-07,6.28875962289e-09,565.8260121293005,437.0535547788463,424.5098451440244
8,0.0159003,0.0479688,0.134539,0.000452967,0.000323699,-0.000279085,0.0042344999999999,-0.0162350999999999,-0.005892,0.000645422,-6.1725e-05,-0.0001997832999999,1.793099024999999e-05,0.0002635784720099,3.47156640000001e-05,4.16569558084e-07,3.809975624999999e-09,3.991336695888999e-08,0.0002528195400899,0.00230100577344,0.0181007425209999,2.0517910308900002e-07,1.04781042601e-07,7.7888437225e-08,564.1220251281129,420.7422943074455,424.378691542742
9,0.0125133,-0.0294734,0.113905,0.000266597,0.000121817,-0.000279085,-0.0033869999999999,-0.0774422,-0.0206339999999999,-0.00018637,-0.000201882,0.0,1.1471768999999996e-05,0.00599729434084,0.0004257619559999,3.4733776899999995e-08,4.0756341924e-08,0.0,0.00015658267689,0.00086868130756,0.012974349025,7.1073960409e-08,1.4839381489e-08,7.7888437225e-08,565.8634343579281,421.2958390168321,424.5085974332182
10,0.0181807,0.0384353,0.14849,-0.000107266,0.000494425,-0.000279085,0.0056674,0.0679087,0.034585,-0.000373863,0.000372608,0.0,3.211942276000002e-05,0.00461159153569,0.001196122225,1.39773542769e-07,1.388367216640001e-07,0.0,0.00033053785249,0.00147727228609,0.0220492801,1.1505994756e-08,2.444560806250001e-07,7.7888437225e-08,565.8941780397665,428.0917088443196,424.50443839719753
11,0.00915015,-0.029563,0.10588,0.000321978,0.000250156,-0.000279085,-0.00903055,-0.0679983,-0.04261,0.000429244,-0.000244269,0.0,8.155083330250003e-05,0.00462376880289,0.0018156121,1.8425041153600002e-07,5.966734436100002e-08,0.0,8.372524502249999e-05,0.000873970969,0.0112105744,1.03669832484e-07,6.257802433600001e-08,7.7888437225e-08,565.511137811851,427.6993643642557,424.4916413632878
12,0.026947,0.0367853,0.164977,-7.1162e-05,0.000455888,-0.000279085,0.01779685,0.0663483,0.059097,-0.00039314,0.0002057319999999,0.0,0.0003167278699224,0.00440209691289,0.003492455409,1.545590596e-07,4.2325655824e-08,0.0,0.0007261408089999,0.00135315829609,0.027217410529,5.0640302439999995e-09,2.07833868544e-07,7.7888437225e-08,564.757664816759,424.1934381699985,424.0456327389487
