_id,name,value,factorTypeId,createdAt
LCPL67GcDLnC7kpX4,duo,2,JtewtWYuLHAE9FvL3,2023-03-30T17:01:06Z
9mWDEEbPMz8J8oWxh,quad,4,JtewtWYuLHAE9FvL3,2023-03-30T17:01:06Z
dwfYRz6EK4FE9iNcR,four,4,BBRoq5WHnzs4qpWew,2023-03-30T17:01:06Z
H6mfXThg4jQ2annbb,minute,60,kJddTH8X4Y6Df7SPA,2023-03-30T17:01:06Z
sLBbCyDZv74ZsrtYE,solo,1,JtewtWYuLHAE9FvL3,2023-03-30T17:01:06Z
GSmgoGszjTjH6mWNu,targetSet,setA,kJddTH8X4Y6Df7SPA,2023-03-30T17:01:06Z
PhWBYRyqGv7hpZbKm,prolificPilot,3B021164,oTmtc6KmQb77CaDTC,2023-03-30T17:01:06Z
zAoBH7r4FvddSqPJc,45,45,kJddTH8X4Y6Df7SPA,2023-03-30T17:01:06Z
SgQu4ZKB8wBKxc8rr,1,1,z6L6FSpw5CXijPmkw,2023-03-30T17:01:06Z
Hnh4QcSTar73rpD5p,4,4,z6L6FSpw5CXijPmkw,2023-03-30T17:01:06Z
gegSoYkW2EMiMDGqk,six,6,BBRoq5WHnzs4qpWew,2023-03-30T17:01:06Z
3wAha2KRzPGrBAhYk,2,2,z6L6FSpw5CXijPmkw,2023-03-30T17:01:06Z
xSDGsfwZGL2KiST2E,3,3,z6L6FSpw5CXijPmkw,2023-03-30T17:01:06Z
5NXf5RJgeqcY6Lfqt,firstExposure,1,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
Qfw768iYTtcmJRtzL,pretest,2,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
8f9j3a7kGpsEbzXti,rep1,3,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
DcXTte9mF84LMHsXt,rep2,4,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
EQLbYPSuTK5b22rao,rep3,5,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
KKFWykKTxks5HKqiH,rep4,6,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
YGJ4X2GfHaSeXPysC,rep5,7,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
z6pCrrGaLtXedxdKG,rep6,8,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
q6PsQnjCZKQa7vvsD,posttest,9,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
rFEEZvpbCHPTK5yhs,finalExposure,10,E66aRX489aoBNN7hh,2023-03-30T17:01:06Z
oZ8iNBYZnrY5WThKv,5,5,z6L6FSpw5CXijPmkw,2023-04-13T16:14:31Z
whtWAE2jx8mYyvzoQ,6,6,z6L6FSpw5CXijPmkw,2023-04-13T16:14:35Z
d4XKWpthXrnqGPyNF,7,7,z6L6FSpw5CXijPmkw,2023-04-13T16:14:38Z
LhT8etJBKvkxCd8Sf,8,8,z6L6FSpw5CXijPmkw,2023-04-13T16:14:41Z
GpD7vc8cKPYsHZ3wg,9,9,z6L6FSpw5CXijPmkw,2023-04-13T16:14:45Z
HyohiHYN2wHgcuahF,inf,10000,kJddTH8X4Y6Df7SPA,2023-04-13T16:15:03Z
qQ6is5fP5d9FBqgax,10,10,z6L6FSpw5CXijPmkw,2023-04-24T17:40:47Z
