_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
ooGyvXSRRfcMSGBur,1,simple,true,2023-03-30T17:01:21Z,,cancelled,,SWQoApN3HzjC8ezKM,2023-03-30T17:01:20Z,2023-04-08T12:51:16Z
xJH9iCiX9QX6kY5TJ,2,simple,false,2023-04-08T12:51:12Z,,cancelled,,PSbpnaSNphXjYzu5a,2023-04-08T12:51:11Z,2023-04-19T16:08:30Z
sk6PfbsxxTrqM4jQC,3,simple,false,,,cancelled,,Ru4umHFicsj8BuQzH,2023-04-08T12:51:15Z,2023-04-08T12:51:20Z
ezRSFzPysqjErvJNh,4,simple,true,2023-04-13T16:12:58Z,2023-04-13T18:50:24Z,finished,,fvc2pj6aQmgtXGzEF,2023-04-13T16:12:55Z,2023-04-19T16:08:38Z
eaXqNxaopMvRdFSxs,5,simple,true,2023-04-15T11:07:39Z,2023-04-15T17:25:03Z,finished,,uRBY2oSdZknrX94DB,2023-04-15T11:07:18Z,2023-04-19T16:08:39Z
QvpMRYoPSN4Kh5c5A,6,simple,true,2023-04-15T19:20:24Z,,cancelled,,RgSB8PL5ijypAki9c,2023-04-15T19:20:23Z,2023-04-19T16:08:31Z
M5yjZwTWf4zYRFGvY,7,simple,true,2023-04-15T20:43:37Z,,cancelled,,NjiESi7vazeSBo3cF,2023-04-15T20:43:34Z,2023-04-19T16:08:32Z
qg3G88pJHeXyPkAAd,8,simple,true,2023-04-15T21:07:35Z,2023-04-15T22:03:17Z,finished,,c547yMZa7RoPDZqhQ,2023-04-15T21:07:32Z,2023-04-19T16:08:40Z
2byhmcELKtCJq6rWQ,9,simple,true,2023-04-18T13:41:09Z,,cancelled,,eZAnrr7xvSSnBTZv6,2023-04-18T13:41:06Z,2023-04-19T16:08:38Z
2NwBeksCYwXZvmmaF,10,simple,true,2023-04-18T14:51:57Z,2023-04-18T16:10:10Z,finished,,gvmM5p5aPBgrRAJKR,2023-04-18T14:51:52Z,2023-05-17T12:00:40Z
cCrQwmfcEMvdsC6Xb,11,simple,true,2023-04-19T16:08:26Z,2023-04-19T18:21:04Z,finished,,QgBfWmt9jwau4SapG,2023-04-19T16:08:25Z,2023-05-17T12:00:40Z
G6NiXXNGpvtmN2Wje,12,simple,true,2023-04-20T16:25:06Z,2023-04-20T19:16:34Z,finished,,WHMWYLppT6n55GWK8,2023-04-20T16:25:05Z,2023-05-17T12:00:41Z
vG5o2FthRBdB3nv6t,13,simple,true,2023-04-21T13:07:24Z,2023-04-21T15:48:55Z,finished,,taqb2ppRdSSSKPrr3,2023-04-21T13:07:23Z,2023-05-17T12:00:41Z
smzMk3Wyyg7qmQ3J3,14,simple,true,2023-04-21T21:34:05Z,2023-04-22T00:08:36Z,finished,,WndaoHaKSX8CnnWN8,2023-04-21T21:34:03Z,2023-05-17T12:00:41Z
nLfEsd2w2CdzRaQ5r,15,simple,true,2023-04-24T17:41:10Z,2023-04-24T20:02:03Z,finished,,Xk8rWPfyWGWvHMGXk,2023-04-24T17:41:09Z,2023-05-17T12:00:41Z
misJtDeKykdgbhMah,16,simple,true,2023-04-25T14:15:46Z,2023-04-25T17:24:20Z,finished,,ZHx6hdLtGuNqpt7dJ,2023-04-25T14:15:42Z,2023-05-18T18:59:53Z
yFuMxpzRF7LWnZxwp,17,simple,true,2023-05-16T19:35:22Z,2023-05-16T21:58:43Z,finished,,XmrKhGTS5Cxm3TTJv,2023-05-16T19:35:20Z,2023-05-18T18:59:54Z
s7xs3cwk9LYKEwXNR,18,simple,false,2023-05-17T13:02:13Z,,cancelled,,qq8ueFjmFbAqdW7NF,2023-05-17T12:00:52Z,2023-05-18T18:59:52Z
AWuZLwxJvp3v3Gt5F,19,simple,true,2023-05-17T14:33:50Z,2023-05-17T16:38:32Z,finished,,9pHY36GPQ9vjR2adB,2023-05-17T14:33:49Z,2023-05-18T18:59:55Z
zfTA9XDmc7QxbQJkc,20,simple,false,2023-05-17T16:53:32Z,,cancelled,,AnrWKWBaaHu6Enbyx,2023-05-17T16:53:25Z,2023-05-18T18:59:53Z
7WgXhNJQWHJyZnwAR,21,simple,true,2023-05-17T16:57:27Z,2023-05-17T19:09:34Z,finished,,RpkrfbQTPG727WjTh,2023-05-17T16:57:25Z,
eWzMn5LmiFfkEesvX,22,simple,true,2023-05-18T19:00:07Z,2023-05-18T21:44:36Z,finished,,8idebSiW9J6ZnFmWb,2023-05-18T19:00:06Z,
9SwuPxRTFoNjM4vME,23,simple,true,2023-05-19T13:06:46Z,2023-05-19T16:22:49Z,finished,,LauZw5vwxkFgcagqa,2023-05-19T13:06:45Z,
Dr8NMC97CBHF452JB,24,simple,true,2023-05-22T16:06:24Z,2023-05-22T18:39:28Z,finished,,tmL67axAbjbDSb2rF,2023-05-22T16:06:23Z,
TXkaiXrryb77Xtdyk,25,simple,true,2023-05-24T13:03:36Z,2023-05-24T15:30:00Z,finished,,DWggFFWQGZxpdJhHv,2023-05-24T13:03:35Z,
Bxw6g2CqEYEfwnQzH,26,simple,true,2023-05-24T16:05:26Z,2023-05-24T18:45:24Z,finished,,T2EAmsnkMG4r2GeD7,2023-05-24T16:05:25Z,
DmSner5Jf2MWoywWN,27,simple,true,2023-05-26T13:13:08Z,2023-05-26T16:14:28Z,finished,,2hSfJCuaRNmDsuMu6,2023-05-26T13:13:07Z,
r7cAMyhLd4LBtCFfy,28,simple,true,2023-05-26T16:25:12Z,,cancelled,,viK7qeqD7wojRRSo3,2023-05-26T16:25:10Z,
npyZ4GC2eBSuuwKXd,29,simple,false,,,cancelled,,K9GQAFBB3A5prEAXG,2023-05-26T19:20:07Z,
